Frame, Time (ms),Platform,Scenario,Game
1,0,Parsec,Three Percent Loss,GRID
2,29.986,Parsec,Three Percent Loss,GRID
3,50.045,Parsec,Three Percent Loss,GRID
4,75.369,Parsec,Three Percent Loss,GRID
5,83.459,Parsec,Three Percent Loss,GRID
6,99.858,Parsec,Three Percent Loss,GRID
7,116.56,Parsec,Three Percent Loss,GRID
8,133.193,Parsec,Three Percent Loss,GRID
9,149.861,Parsec,Three Percent Loss,GRID
10,166.545,Parsec,Three Percent Loss,GRID
11,183.19,Parsec,Three Percent Loss,GRID
12,199.867,Parsec,Three Percent Loss,GRID
13,216.495,Parsec,Three Percent Loss,GRID
14,233.186,Parsec,Three Percent Loss,GRID
15,250.012,Parsec,Three Percent Loss,GRID
16,282.029,Parsec,Three Percent Loss,GRID
17,299.877,Parsec,Three Percent Loss,GRID
18,316.592,Parsec,Three Percent Loss,GRID
19,333.204,Parsec,Three Percent Loss,GRID
20,349.875,Parsec,Three Percent Loss,GRID
21,366.536,Parsec,Three Percent Loss,GRID
22,383.205,Parsec,Three Percent Loss,GRID
23,416.164,Parsec,Three Percent Loss,GRID
24,433.256,Parsec,Three Percent Loss,GRID
25,449.87,Parsec,Three Percent Loss,GRID
26,466.811,Parsec,Three Percent Loss,GRID
27,483.259,Parsec,Three Percent Loss,GRID
28,499.854,Parsec,Three Percent Loss,GRID
29,517.744,Parsec,Three Percent Loss,GRID
30,533.206,Parsec,Three Percent Loss,GRID
31,550.101,Parsec,Three Percent Loss,GRID
32,566.654,Parsec,Three Percent Loss,GRID
33,583.942,Parsec,Three Percent Loss,GRID
34,599.877,Parsec,Three Percent Loss,GRID
35,616.546,Parsec,Three Percent Loss,GRID
36,633.136,Parsec,Three Percent Loss,GRID
37,650.146,Parsec,Three Percent Loss,GRID
38,666.52,Parsec,Three Percent Loss,GRID
39,683.339,Parsec,Three Percent Loss,GRID
40,699.854,Parsec,Three Percent Loss,GRID
41,724.943,Parsec,Three Percent Loss,GRID
42,733.265,Parsec,Three Percent Loss,GRID
43,769.539,Parsec,Three Percent Loss,GRID
44,783.211,Parsec,Three Percent Loss,GRID
45,799.886,Parsec,Three Percent Loss,GRID
46,816.485,Parsec,Three Percent Loss,GRID
47,833.235,Parsec,Three Percent Loss,GRID
48,853.34,Parsec,Three Percent Loss,GRID
49,866.52,Parsec,Three Percent Loss,GRID
50,900.185,Parsec,Three Percent Loss,GRID
51,916.581,Parsec,Three Percent Loss,GRID
52,939.072,Parsec,Three Percent Loss,GRID
53,949.888,Parsec,Three Percent Loss,GRID
54,966.559,Parsec,Three Percent Loss,GRID
55,990.37,Parsec,Three Percent Loss,GRID
56,999.98,Parsec,Three Percent Loss,GRID
57,1016.552,Parsec,Three Percent Loss,GRID
58,1072.526,Parsec,Three Percent Loss,GRID
59,1083.295,Parsec,Three Percent Loss,GRID
60,1099.882,Parsec,Three Percent Loss,GRID
61,1116.575,Parsec,Three Percent Loss,GRID
62,1133.225,Parsec,Three Percent Loss,GRID
63,1149.878,Parsec,Three Percent Loss,GRID
64,1166.587,Parsec,Three Percent Loss,GRID
65,1183.278,Parsec,Three Percent Loss,GRID
66,1199.974,Parsec,Three Percent Loss,GRID
67,1224.92,Parsec,Three Percent Loss,GRID
68,1233.268,Parsec,Three Percent Loss,GRID
69,1250.064,Parsec,Three Percent Loss,GRID
70,1266.577,Parsec,Three Percent Loss,GRID
71,1283.301,Parsec,Three Percent Loss,GRID
72,1299.867,Parsec,Three Percent Loss,GRID
73,1316.544,Parsec,Three Percent Loss,GRID
74,1333.234,Parsec,Three Percent Loss,GRID
75,1349.863,Parsec,Three Percent Loss,GRID
76,1366.762,Parsec,Three Percent Loss,GRID
77,1383.18,Parsec,Three Percent Loss,GRID
78,1399.903,Parsec,Three Percent Loss,GRID
79,1416.612,Parsec,Three Percent Loss,GRID
80,1433.566,Parsec,Three Percent Loss,GRID
81,1449.95,Parsec,Three Percent Loss,GRID
82,1466.57,Parsec,Three Percent Loss,GRID
83,1483.269,Parsec,Three Percent Loss,GRID
84,1499.913,Parsec,Three Percent Loss,GRID
85,1516.67,Parsec,Three Percent Loss,GRID
86,1546.766,Parsec,Three Percent Loss,GRID
87,1566.595,Parsec,Three Percent Loss,GRID
88,1598.986,Parsec,Three Percent Loss,GRID
89,1616.601,Parsec,Three Percent Loss,GRID
90,1633.252,Parsec,Three Percent Loss,GRID
91,1649.936,Parsec,Three Percent Loss,GRID
92,1672.609,Parsec,Three Percent Loss,GRID
93,1683.254,Parsec,Three Percent Loss,GRID
94,1700.053,Parsec,Three Percent Loss,GRID
95,1716.575,Parsec,Three Percent Loss,GRID
96,1733.246,Parsec,Three Percent Loss,GRID
97,1750.008,Parsec,Three Percent Loss,GRID
98,1766.635,Parsec,Three Percent Loss,GRID
99,1783.258,Parsec,Three Percent Loss,GRID
100,1799.915,Parsec,Three Percent Loss,GRID
101,1816.585,Parsec,Three Percent Loss,GRID
102,1834.585,Parsec,Three Percent Loss,GRID
103,1849.984,Parsec,Three Percent Loss,GRID
104,1866.699,Parsec,Three Percent Loss,GRID
105,1894.072,Parsec,Three Percent Loss,GRID
106,1916.58,Parsec,Three Percent Loss,GRID
107,1933.271,Parsec,Three Percent Loss,GRID
108,1949.926,Parsec,Three Percent Loss,GRID
109,1994.384,Parsec,Three Percent Loss,GRID
110,2016.589,Parsec,Three Percent Loss,GRID
111,2033.315,Parsec,Three Percent Loss,GRID
112,2049.931,Parsec,Three Percent Loss,GRID
113,2066.593,Parsec,Three Percent Loss,GRID
114,2083.281,Parsec,Three Percent Loss,GRID
115,2128.534,Parsec,Three Percent Loss,GRID
116,2149.966,Parsec,Three Percent Loss,GRID
117,2171.264,Parsec,Three Percent Loss,GRID
118,2183.394,Parsec,Three Percent Loss,GRID
119,2199.943,Parsec,Three Percent Loss,GRID
120,2224.819,Parsec,Three Percent Loss,GRID
121,2233.314,Parsec,Three Percent Loss,GRID
122,2281.592,Parsec,Three Percent Loss,GRID
123,2300.116,Parsec,Three Percent Loss,GRID
124,2316.625,Parsec,Three Percent Loss,GRID
125,2333.253,Parsec,Three Percent Loss,GRID
126,2349.935,Parsec,Three Percent Loss,GRID
127,2366.613,Parsec,Three Percent Loss,GRID
128,2383.273,Parsec,Three Percent Loss,GRID
129,2399.947,Parsec,Three Percent Loss,GRID
130,2420.944,Parsec,Three Percent Loss,GRID
131,2433.337,Parsec,Three Percent Loss,GRID
132,2449.967,Parsec,Three Percent Loss,GRID
133,2467.63,Parsec,Three Percent Loss,GRID
134,2483.302,Parsec,Three Percent Loss,GRID
135,2499.886,Parsec,Three Percent Loss,GRID
136,2516.65,Parsec,Three Percent Loss,GRID
137,2539.635,Parsec,Three Percent Loss,GRID
138,2549.932,Parsec,Three Percent Loss,GRID
139,2566.62,Parsec,Three Percent Loss,GRID
140,2603.633,Parsec,Three Percent Loss,GRID
141,2616.764,Parsec,Three Percent Loss,GRID
142,2633.309,Parsec,Three Percent Loss,GRID
143,2649.924,Parsec,Three Percent Loss,GRID
144,2666.656,Parsec,Three Percent Loss,GRID
145,2683.276,Parsec,Three Percent Loss,GRID
146,2700.806,Parsec,Three Percent Loss,GRID
147,2716.618,Parsec,Three Percent Loss,GRID
148,2736.484,Parsec,Three Percent Loss,GRID
149,2749.954,Parsec,Three Percent Loss,GRID
150,2784.388,Parsec,Three Percent Loss,GRID
151,2800.143,Parsec,Three Percent Loss,GRID
152,2816.604,Parsec,Three Percent Loss,GRID
153,2833.318,Parsec,Three Percent Loss,GRID
154,2849.946,Parsec,Three Percent Loss,GRID
155,2882.17,Parsec,Three Percent Loss,GRID
156,2900.125,Parsec,Three Percent Loss,GRID
157,2949.797,Parsec,Three Percent Loss,GRID
158,2966.65,Parsec,Three Percent Loss,GRID
159,2984.515,Parsec,Three Percent Loss,GRID
160,2999.939,Parsec,Three Percent Loss,GRID
161,3016.661,Parsec,Three Percent Loss,GRID
162,3033.307,Parsec,Three Percent Loss,GRID
163,3076.289,Parsec,Three Percent Loss,GRID
164,3083.351,Parsec,Three Percent Loss,GRID
165,3099.978,Parsec,Three Percent Loss,GRID
166,3116.624,Parsec,Three Percent Loss,GRID
167,3133.307,Parsec,Three Percent Loss,GRID
168,3149.973,Parsec,Three Percent Loss,GRID
169,3166.667,Parsec,Three Percent Loss,GRID
170,3187.321,Parsec,Three Percent Loss,GRID
171,3200.028,Parsec,Three Percent Loss,GRID
172,3216.6,Parsec,Three Percent Loss,GRID
173,3233.348,Parsec,Three Percent Loss,GRID
174,3272.759,Parsec,Three Percent Loss,GRID
175,3283.476,Parsec,Three Percent Loss,GRID
176,3302.387,Parsec,Three Percent Loss,GRID
177,3316.644,Parsec,Three Percent Loss,GRID
178,3337.853,Parsec,Three Percent Loss,GRID
179,3349.949,Parsec,Three Percent Loss,GRID
180,3366.642,Parsec,Three Percent Loss,GRID
181,3383.322,Parsec,Three Percent Loss,GRID
182,3399.96,Parsec,Three Percent Loss,GRID
183,3416.67,Parsec,Three Percent Loss,GRID
184,3433.366,Parsec,Three Percent Loss,GRID
185,3449.989,Parsec,Three Percent Loss,GRID
186,3471.155,Parsec,Three Percent Loss,GRID
187,3483.307,Parsec,Three Percent Loss,GRID
188,3500.049,Parsec,Three Percent Loss,GRID
189,3519.578,Parsec,Three Percent Loss,GRID
190,3533.324,Parsec,Three Percent Loss,GRID
191,3550.014,Parsec,Three Percent Loss,GRID
192,3604.413,Parsec,Three Percent Loss,GRID
193,3616.698,Parsec,Three Percent Loss,GRID
194,3633.246,Parsec,Three Percent Loss,GRID
195,3650.026,Parsec,Three Percent Loss,GRID
196,3666.679,Parsec,Three Percent Loss,GRID
197,3683.324,Parsec,Three Percent Loss,GRID
