Frame, Time (ms),Platform,Scenario,Game
1,0,Steam,Three Percent Loss,GRID
2,20.556,Steam,Three Percent Loss,GRID
3,30.949,Steam,Three Percent Loss,GRID
4,50.424,Steam,Three Percent Loss,GRID
5,70.068,Steam,Three Percent Loss,GRID
6,86.952,Steam,Three Percent Loss,GRID
7,97.743,Steam,Three Percent Loss,GRID
8,133.503,Steam,Three Percent Loss,GRID
9,133.967,Steam,Three Percent Loss,GRID
10,149.194,Steam,Three Percent Loss,GRID
11,187.83,Steam,Three Percent Loss,GRID
12,201.825,Steam,Three Percent Loss,GRID
13,202.295,Steam,Three Percent Loss,GRID
14,255.453,Steam,Three Percent Loss,GRID
15,256.086,Steam,Three Percent Loss,GRID
16,288.976,Steam,Three Percent Loss,GRID
17,289.312,Steam,Three Percent Loss,GRID
18,303.371,Steam,Three Percent Loss,GRID
19,314.188,Steam,Three Percent Loss,GRID
20,332.178,Steam,Three Percent Loss,GRID
21,349.228,Steam,Three Percent Loss,GRID
22,367.28,Steam,Three Percent Loss,GRID
23,382.838,Steam,Three Percent Loss,GRID
24,399.365,Steam,Three Percent Loss,GRID
25,437.907,Steam,Three Percent Loss,GRID
26,438.392,Steam,Three Percent Loss,GRID
27,451.022,Steam,Three Percent Loss,GRID
28,466.064,Steam,Three Percent Loss,GRID
29,482.085,Steam,Three Percent Loss,GRID
30,503.639,Steam,Three Percent Loss,GRID
31,514.427,Steam,Three Percent Loss,GRID
32,534.221,Steam,Three Percent Loss,GRID
33,549.261,Steam,Three Percent Loss,GRID
34,583.869,Steam,Three Percent Loss,GRID
35,591.346,Steam,Three Percent Loss,GRID
36,600.4,Steam,Three Percent Loss,GRID
37,636.046,Steam,Three Percent Loss,GRID
38,636.529,Steam,Three Percent Loss,GRID
39,652.053,Steam,Three Percent Loss,GRID
40,667.079,Steam,Three Percent Loss,GRID
41,684.638,Steam,Three Percent Loss,GRID
42,700.672,Steam,Three Percent Loss,GRID
43,715.732,Steam,Three Percent Loss,GRID
44,753.841,Steam,Three Percent Loss,GRID
45,786.974,Steam,Three Percent Loss,GRID
46,787.472,Steam,Three Percent Loss,GRID
47,819.227,Steam,Three Percent Loss,GRID
48,819.774,Steam,Three Percent Loss,GRID
49,832.563,Steam,Three Percent Loss,GRID
50,853.624,Steam,Three Percent Loss,GRID
51,864.44,Steam,Three Percent Loss,GRID
52,882.164,Steam,Three Percent Loss,GRID
53,920.271,Steam,Three Percent Loss,GRID
54,953.691,Steam,Three Percent Loss,GRID
55,954.102,Steam,Three Percent Loss,GRID
56,987.701,Steam,Three Percent Loss,GRID
57,988.108,Steam,Three Percent Loss,GRID
58,998.997,Steam,Three Percent Loss,GRID
59,1015.555,Steam,Three Percent Loss,GRID
60,1032.554,Steam,Three Percent Loss,GRID
61,1053.458,Steam,Three Percent Loss,GRID
62,1064.507,Steam,Three Percent Loss,GRID
63,1081.307,Steam,Three Percent Loss,GRID
64,1097.868,Steam,Three Percent Loss,GRID
65,1115.789,Steam,Three Percent Loss,GRID
66,1132.34,Steam,Three Percent Loss,GRID
67,1153.463,Steam,Three Percent Loss,GRID
68,1164.467,Steam,Three Percent Loss,GRID
69,1181.329,Steam,Three Percent Loss,GRID
70,1197.819,Steam,Three Percent Loss,GRID
71,1223.405,Steam,Three Percent Loss,GRID
72,1231.019,Steam,Three Percent Loss,GRID
73,1247.587,Steam,Three Percent Loss,GRID
74,1264.356,Steam,Three Percent Loss,GRID
75,1280.896,Steam,Three Percent Loss,GRID
76,1303.683,Steam,Three Percent Loss,GRID
77,1314.327,Steam,Three Percent Loss,GRID
78,1331.028,Steam,Three Percent Loss,GRID
79,1347.772,Steam,Three Percent Loss,GRID
80,1364.548,Steam,Three Percent Loss,GRID
81,1381.182,Steam,Three Percent Loss,GRID
82,1403.453,Steam,Three Percent Loss,GRID
83,1414.439,Steam,Three Percent Loss,GRID
84,1437.017,Steam,Three Percent Loss,GRID
85,1447.895,Steam,Three Percent Loss,GRID
86,1465.733,Steam,Three Percent Loss,GRID
