Frame, Time (ms),Platform,Scenario,Game
1,0,Parsec,Fifty Percent Out Of Order,GRID
2,16.398,Parsec,Fifty Percent Out Of Order,GRID
3,33.078,Parsec,Fifty Percent Out Of Order,GRID
4,49.711,Parsec,Fifty Percent Out Of Order,GRID
5,66.387,Parsec,Fifty Percent Out Of Order,GRID
6,83.141,Parsec,Fifty Percent Out Of Order,GRID
7,99.721,Parsec,Fifty Percent Out Of Order,GRID
8,116.396,Parsec,Fifty Percent Out Of Order,GRID
9,133.092,Parsec,Fifty Percent Out Of Order,GRID
10,149.942,Parsec,Fifty Percent Out Of Order,GRID
11,166.404,Parsec,Fifty Percent Out Of Order,GRID
12,183.078,Parsec,Fifty Percent Out Of Order,GRID
13,199.782,Parsec,Fifty Percent Out Of Order,GRID
14,216.377,Parsec,Fifty Percent Out Of Order,GRID
15,233.149,Parsec,Fifty Percent Out Of Order,GRID
16,249.748,Parsec,Fifty Percent Out Of Order,GRID
17,266.385,Parsec,Fifty Percent Out Of Order,GRID
18,283.078,Parsec,Fifty Percent Out Of Order,GRID
19,299.79,Parsec,Fifty Percent Out Of Order,GRID
20,316.386,Parsec,Fifty Percent Out Of Order,GRID
21,333.056,Parsec,Fifty Percent Out Of Order,GRID
22,349.726,Parsec,Fifty Percent Out Of Order,GRID
23,366.411,Parsec,Fifty Percent Out Of Order,GRID
24,383.025,Parsec,Fifty Percent Out Of Order,GRID
25,399.763,Parsec,Fifty Percent Out Of Order,GRID
26,419.325,Parsec,Fifty Percent Out Of Order,GRID
27,433.055,Parsec,Fifty Percent Out Of Order,GRID
28,449.736,Parsec,Fifty Percent Out Of Order,GRID
29,466.434,Parsec,Fifty Percent Out Of Order,GRID
30,483.033,Parsec,Fifty Percent Out Of Order,GRID
31,499.755,Parsec,Fifty Percent Out Of Order,GRID
32,516.322,Parsec,Fifty Percent Out Of Order,GRID
33,533.068,Parsec,Fifty Percent Out Of Order,GRID
34,549.748,Parsec,Fifty Percent Out Of Order,GRID
35,566.408,Parsec,Fifty Percent Out Of Order,GRID
36,583.043,Parsec,Fifty Percent Out Of Order,GRID
37,599.743,Parsec,Fifty Percent Out Of Order,GRID
38,616.396,Parsec,Fifty Percent Out Of Order,GRID
39,633.08,Parsec,Fifty Percent Out Of Order,GRID
40,649.773,Parsec,Fifty Percent Out Of Order,GRID
41,666.475,Parsec,Fifty Percent Out Of Order,GRID
42,683.149,Parsec,Fifty Percent Out Of Order,GRID
43,699.73,Parsec,Fifty Percent Out Of Order,GRID
44,716.623,Parsec,Fifty Percent Out Of Order,GRID
45,733.037,Parsec,Fifty Percent Out Of Order,GRID
46,749.744,Parsec,Fifty Percent Out Of Order,GRID
47,766.433,Parsec,Fifty Percent Out Of Order,GRID
48,783.073,Parsec,Fifty Percent Out Of Order,GRID
49,799.711,Parsec,Fifty Percent Out Of Order,GRID
50,816.413,Parsec,Fifty Percent Out Of Order,GRID
51,833.014,Parsec,Fifty Percent Out Of Order,GRID
52,849.739,Parsec,Fifty Percent Out Of Order,GRID
53,866.404,Parsec,Fifty Percent Out Of Order,GRID
54,883.106,Parsec,Fifty Percent Out Of Order,GRID
55,899.744,Parsec,Fifty Percent Out Of Order,GRID
56,916.41,Parsec,Fifty Percent Out Of Order,GRID
57,933.256,Parsec,Fifty Percent Out Of Order,GRID
58,949.701,Parsec,Fifty Percent Out Of Order,GRID
59,966.411,Parsec,Fifty Percent Out Of Order,GRID
60,983.085,Parsec,Fifty Percent Out Of Order,GRID
61,999.749,Parsec,Fifty Percent Out Of Order,GRID
62,1016.457,Parsec,Fifty Percent Out Of Order,GRID
63,1033.074,Parsec,Fifty Percent Out Of Order,GRID
64,1049.758,Parsec,Fifty Percent Out Of Order,GRID
65,1066.591,Parsec,Fifty Percent Out Of Order,GRID
66,1083.067,Parsec,Fifty Percent Out Of Order,GRID
67,1099.771,Parsec,Fifty Percent Out Of Order,GRID
68,1116.431,Parsec,Fifty Percent Out Of Order,GRID
69,1133.318,Parsec,Fifty Percent Out Of Order,GRID
70,1149.787,Parsec,Fifty Percent Out Of Order,GRID
71,1166.411,Parsec,Fifty Percent Out Of Order,GRID
72,1183.084,Parsec,Fifty Percent Out Of Order,GRID
73,1199.764,Parsec,Fifty Percent Out Of Order,GRID
74,1216.413,Parsec,Fifty Percent Out Of Order,GRID
75,1233.146,Parsec,Fifty Percent Out Of Order,GRID
76,1249.76,Parsec,Fifty Percent Out Of Order,GRID
77,1266.423,Parsec,Fifty Percent Out Of Order,GRID
78,1283.092,Parsec,Fifty Percent Out Of Order,GRID
79,1299.748,Parsec,Fifty Percent Out Of Order,GRID
80,1316.454,Parsec,Fifty Percent Out Of Order,GRID
81,1333.14,Parsec,Fifty Percent Out Of Order,GRID
82,1349.76,Parsec,Fifty Percent Out Of Order,GRID
83,1366.457,Parsec,Fifty Percent Out Of Order,GRID
84,1383.102,Parsec,Fifty Percent Out Of Order,GRID
85,1399.808,Parsec,Fifty Percent Out Of Order,GRID
86,1416.372,Parsec,Fifty Percent Out Of Order,GRID
87,1433.133,Parsec,Fifty Percent Out Of Order,GRID
88,1449.866,Parsec,Fifty Percent Out Of Order,GRID
89,1466.454,Parsec,Fifty Percent Out Of Order,GRID
90,1483.105,Parsec,Fifty Percent Out Of Order,GRID
91,1499.762,Parsec,Fifty Percent Out Of Order,GRID
92,1516.443,Parsec,Fifty Percent Out Of Order,GRID
93,1533.117,Parsec,Fifty Percent Out Of Order,GRID
94,1549.82,Parsec,Fifty Percent Out Of Order,GRID
95,1566.441,Parsec,Fifty Percent Out Of Order,GRID
96,1583.15,Parsec,Fifty Percent Out Of Order,GRID
97,1599.706,Parsec,Fifty Percent Out Of Order,GRID
98,1616.434,Parsec,Fifty Percent Out Of Order,GRID
99,1633.12,Parsec,Fifty Percent Out Of Order,GRID
100,1649.723,Parsec,Fifty Percent Out Of Order,GRID
101,1666.435,Parsec,Fifty Percent Out Of Order,GRID
102,1683.122,Parsec,Fifty Percent Out Of Order,GRID
103,1699.733,Parsec,Fifty Percent Out Of Order,GRID
104,1716.486,Parsec,Fifty Percent Out Of Order,GRID
105,1733.129,Parsec,Fifty Percent Out Of Order,GRID
106,1749.762,Parsec,Fifty Percent Out Of Order,GRID
107,1766.487,Parsec,Fifty Percent Out Of Order,GRID
108,1783.108,Parsec,Fifty Percent Out Of Order,GRID
109,1799.772,Parsec,Fifty Percent Out Of Order,GRID
110,1816.446,Parsec,Fifty Percent Out Of Order,GRID
111,1833.112,Parsec,Fifty Percent Out Of Order,GRID
112,1849.803,Parsec,Fifty Percent Out Of Order,GRID
113,1866.405,Parsec,Fifty Percent Out Of Order,GRID
114,1883.296,Parsec,Fifty Percent Out Of Order,GRID
115,1899.948,Parsec,Fifty Percent Out Of Order,GRID
116,1916.478,Parsec,Fifty Percent Out Of Order,GRID
117,1933.074,Parsec,Fifty Percent Out Of Order,GRID
118,1949.8,Parsec,Fifty Percent Out Of Order,GRID
119,1966.464,Parsec,Fifty Percent Out Of Order,GRID
120,1983.075,Parsec,Fifty Percent Out Of Order,GRID
121,1999.803,Parsec,Fifty Percent Out Of Order,GRID
122,2016.462,Parsec,Fifty Percent Out Of Order,GRID
123,2033.115,Parsec,Fifty Percent Out Of Order,GRID
124,2049.785,Parsec,Fifty Percent Out Of Order,GRID
125,2066.447,Parsec,Fifty Percent Out Of Order,GRID
126,2083.08,Parsec,Fifty Percent Out Of Order,GRID
127,2099.79,Parsec,Fifty Percent Out Of Order,GRID
128,2116.43,Parsec,Fifty Percent Out Of Order,GRID
129,2133.189,Parsec,Fifty Percent Out Of Order,GRID
130,2149.787,Parsec,Fifty Percent Out Of Order,GRID
131,2166.464,Parsec,Fifty Percent Out Of Order,GRID
132,2183.229,Parsec,Fifty Percent Out Of Order,GRID
133,2199.805,Parsec,Fifty Percent Out Of Order,GRID
134,2216.632,Parsec,Fifty Percent Out Of Order,GRID
135,2233.101,Parsec,Fifty Percent Out Of Order,GRID
136,2249.838,Parsec,Fifty Percent Out Of Order,GRID
137,2266.405,Parsec,Fifty Percent Out Of Order,GRID
138,2283.142,Parsec,Fifty Percent Out Of Order,GRID
139,2299.8,Parsec,Fifty Percent Out Of Order,GRID
140,2316.47,Parsec,Fifty Percent Out Of Order,GRID
141,2333.147,Parsec,Fifty Percent Out Of Order,GRID
142,2349.796,Parsec,Fifty Percent Out Of Order,GRID
143,2366.517,Parsec,Fifty Percent Out Of Order,GRID
144,2383.126,Parsec,Fifty Percent Out Of Order,GRID
145,2399.805,Parsec,Fifty Percent Out Of Order,GRID
146,2416.484,Parsec,Fifty Percent Out Of Order,GRID
147,2433.152,Parsec,Fifty Percent Out Of Order,GRID
148,2449.982,Parsec,Fifty Percent Out Of Order,GRID
149,2466.488,Parsec,Fifty Percent Out Of Order,GRID
150,2483.176,Parsec,Fifty Percent Out Of Order,GRID
151,2499.829,Parsec,Fifty Percent Out Of Order,GRID
152,2516.43,Parsec,Fifty Percent Out Of Order,GRID
153,2533.182,Parsec,Fifty Percent Out Of Order,GRID
154,2549.77,Parsec,Fifty Percent Out Of Order,GRID
155,2566.529,Parsec,Fifty Percent Out Of Order,GRID
156,2583.179,Parsec,Fifty Percent Out Of Order,GRID
157,2599.785,Parsec,Fifty Percent Out Of Order,GRID
158,2616.541,Parsec,Fifty Percent Out Of Order,GRID
159,2633.134,Parsec,Fifty Percent Out Of Order,GRID
160,2649.782,Parsec,Fifty Percent Out Of Order,GRID
161,2666.438,Parsec,Fifty Percent Out Of Order,GRID
162,2683.167,Parsec,Fifty Percent Out Of Order,GRID
163,2699.822,Parsec,Fifty Percent Out Of Order,GRID
164,2716.482,Parsec,Fifty Percent Out Of Order,GRID
165,2733.147,Parsec,Fifty Percent Out Of Order,GRID
166,2750.015,Parsec,Fifty Percent Out Of Order,GRID
167,2766.5,Parsec,Fifty Percent Out Of Order,GRID
168,2783.158,Parsec,Fifty Percent Out Of Order,GRID
169,2799.813,Parsec,Fifty Percent Out Of Order,GRID
170,2816.528,Parsec,Fifty Percent Out Of Order,GRID
171,2833.236,Parsec,Fifty Percent Out Of Order,GRID
172,2849.825,Parsec,Fifty Percent Out Of Order,GRID
173,2866.483,Parsec,Fifty Percent Out Of Order,GRID
174,2883.175,Parsec,Fifty Percent Out Of Order,GRID
175,2899.998,Parsec,Fifty Percent Out Of Order,GRID
176,2916.44,Parsec,Fifty Percent Out Of Order,GRID
177,2933.166,Parsec,Fifty Percent Out Of Order,GRID
178,2949.823,Parsec,Fifty Percent Out Of Order,GRID
179,2966.614,Parsec,Fifty Percent Out Of Order,GRID
180,2983.229,Parsec,Fifty Percent Out Of Order,GRID
181,2999.835,Parsec,Fifty Percent Out Of Order,GRID
182,3016.5,Parsec,Fifty Percent Out Of Order,GRID
183,3033.285,Parsec,Fifty Percent Out Of Order,GRID
184,3049.872,Parsec,Fifty Percent Out Of Order,GRID
185,3068.126,Parsec,Fifty Percent Out Of Order,GRID
186,3083.19,Parsec,Fifty Percent Out Of Order,GRID
187,3099.829,Parsec,Fifty Percent Out Of Order,GRID
188,3116.521,Parsec,Fifty Percent Out Of Order,GRID
189,3133.246,Parsec,Fifty Percent Out Of Order,GRID
190,3149.903,Parsec,Fifty Percent Out Of Order,GRID
191,3166.452,Parsec,Fifty Percent Out Of Order,GRID
192,3183.164,Parsec,Fifty Percent Out Of Order,GRID
193,3200.013,Parsec,Fifty Percent Out Of Order,GRID
194,3216.498,Parsec,Fifty Percent Out Of Order,GRID
195,3233.185,Parsec,Fifty Percent Out Of Order,GRID
196,3249.875,Parsec,Fifty Percent Out Of Order,GRID
197,3266.513,Parsec,Fifty Percent Out Of Order,GRID
198,3283.184,Parsec,Fifty Percent Out Of Order,GRID
199,3299.83,Parsec,Fifty Percent Out Of Order,GRID
200,3316.499,Parsec,Fifty Percent Out Of Order,GRID
201,3333.176,Parsec,Fifty Percent Out Of Order,GRID
202,3349.927,Parsec,Fifty Percent Out Of Order,GRID
203,3366.584,Parsec,Fifty Percent Out Of Order,GRID
204,3383.228,Parsec,Fifty Percent Out Of Order,GRID
205,3399.867,Parsec,Fifty Percent Out Of Order,GRID
206,3416.501,Parsec,Fifty Percent Out Of Order,GRID
207,3433.176,Parsec,Fifty Percent Out Of Order,GRID
208,3449.833,Parsec,Fifty Percent Out Of Order,GRID
209,3466.436,Parsec,Fifty Percent Out Of Order,GRID
210,3483.166,Parsec,Fifty Percent Out Of Order,GRID
211,3499.837,Parsec,Fifty Percent Out Of Order,GRID
212,3516.505,Parsec,Fifty Percent Out Of Order,GRID
213,3533.184,Parsec,Fifty Percent Out Of Order,GRID
214,3549.84,Parsec,Fifty Percent Out Of Order,GRID
215,3566.522,Parsec,Fifty Percent Out Of Order,GRID
216,3583.179,Parsec,Fifty Percent Out Of Order,GRID
217,3599.868,Parsec,Fifty Percent Out Of Order,GRID
218,3616.709,Parsec,Fifty Percent Out Of Order,GRID
219,3633.179,Parsec,Fifty Percent Out Of Order,GRID
220,3649.84,Parsec,Fifty Percent Out Of Order,GRID
221,3666.513,Parsec,Fifty Percent Out Of Order,GRID
222,3683.357,Parsec,Fifty Percent Out Of Order,GRID
223,3699.776,Parsec,Fifty Percent Out Of Order,GRID
224,3716.518,Parsec,Fifty Percent Out Of Order,GRID
225,3733.185,Parsec,Fifty Percent Out Of Order,GRID
226,3749.859,Parsec,Fifty Percent Out Of Order,GRID
227,3766.521,Parsec,Fifty Percent Out Of Order,GRID
228,3783.186,Parsec,Fifty Percent Out Of Order,GRID
229,3799.848,Parsec,Fifty Percent Out Of Order,GRID
230,3816.487,Parsec,Fifty Percent Out Of Order,GRID
231,3833.184,Parsec,Fifty Percent Out Of Order,GRID
232,3849.851,Parsec,Fifty Percent Out Of Order,GRID
233,3866.514,Parsec,Fifty Percent Out Of Order,GRID
234,3883.182,Parsec,Fifty Percent Out Of Order,GRID
235,3899.802,Parsec,Fifty Percent Out Of Order,GRID
236,3916.526,Parsec,Fifty Percent Out Of Order,GRID
237,3933.185,Parsec,Fifty Percent Out Of Order,GRID
238,3949.854,Parsec,Fifty Percent Out Of Order,GRID
