Frame, Time (ms),Platform,Scenario,Game
1,0,Steam,Fifty Percent Out Of Order,GRID
2,16.413,Steam,Fifty Percent Out Of Order,GRID
3,32.986,Steam,Fifty Percent Out Of Order,GRID
4,49.509,Steam,Fifty Percent Out Of Order,GRID
5,66.547,Steam,Fifty Percent Out Of Order,GRID
6,85.592,Steam,Fifty Percent Out Of Order,GRID
7,101.125,Steam,Fifty Percent Out Of Order,GRID
8,117.678,Steam,Fifty Percent Out Of Order,GRID
9,132.721,Steam,Fifty Percent Out Of Order,GRID
10,149.764,Steam,Fifty Percent Out Of Order,GRID
11,167.813,Steam,Fifty Percent Out Of Order,GRID
12,184.363,Steam,Fifty Percent Out Of Order,GRID
13,200.9,Steam,Fifty Percent Out Of Order,GRID
14,216.443,Steam,Fifty Percent Out Of Order,GRID
15,234.57,Steam,Fifty Percent Out Of Order,GRID
16,251.026,Steam,Fifty Percent Out Of Order,GRID
17,267.584,Steam,Fifty Percent Out Of Order,GRID
18,285.623,Steam,Fifty Percent Out Of Order,GRID
19,303.67,Steam,Fifty Percent Out Of Order,GRID
20,317.711,Steam,Fifty Percent Out Of Order,GRID
21,337.262,Steam,Fifty Percent Out Of Order,GRID
22,351.297,Steam,Fifty Percent Out Of Order,GRID
23,366.348,Steam,Fifty Percent Out Of Order,GRID
24,384.395,Steam,Fifty Percent Out Of Order,GRID
25,402.527,Steam,Fifty Percent Out Of Order,GRID
26,418.991,Steam,Fifty Percent Out Of Order,GRID
27,434.044,Steam,Fifty Percent Out Of Order,GRID
28,449.549,Steam,Fifty Percent Out Of Order,GRID
29,469.127,Steam,Fifty Percent Out Of Order,GRID
30,487.174,Steam,Fifty Percent Out Of Order,GRID
31,500.696,Steam,Fifty Percent Out Of Order,GRID
32,517.745,Steam,Fifty Percent Out Of Order,GRID
33,534.28,Steam,Fifty Percent Out Of Order,GRID
34,551.351,Steam,Fifty Percent Out Of Order,GRID
35,567.877,Steam,Fifty Percent Out Of Order,GRID
36,583.433,Steam,Fifty Percent Out Of Order,GRID
37,602.465,Steam,Fifty Percent Out Of Order,GRID
38,620.518,Steam,Fifty Percent Out Of Order,GRID
39,637.065,Steam,Fifty Percent Out Of Order,GRID
40,655.606,Steam,Fifty Percent Out Of Order,GRID
41,667.641,Steam,Fifty Percent Out Of Order,GRID
42,688.741,Steam,Fifty Percent Out Of Order,GRID
43,701.224,Steam,Fifty Percent Out Of Order,GRID
44,716.262,Steam,Fifty Percent Out Of Order,GRID
45,734.321,Steam,Fifty Percent Out Of Order,GRID
46,752.871,Steam,Fifty Percent Out Of Order,GRID
47,769.402,Steam,Fifty Percent Out Of Order,GRID
48,785.964,Steam,Fifty Percent Out Of Order,GRID
49,800.997,Steam,Fifty Percent Out Of Order,GRID
50,817.535,Steam,Fifty Percent Out Of Order,GRID
51,837.105,Steam,Fifty Percent Out Of Order,GRID
52,854.207,Steam,Fifty Percent Out Of Order,GRID
53,870.685,Steam,Fifty Percent Out Of Order,GRID
54,885.725,Steam,Fifty Percent Out Of Order,GRID
55,906.772,Steam,Fifty Percent Out Of Order,GRID
56,918.814,Steam,Fifty Percent Out Of Order,GRID
57,937.372,Steam,Fifty Percent Out Of Order,GRID
58,955.906,Steam,Fifty Percent Out Of Order,GRID
59,970.956,Steam,Fifty Percent Out Of Order,GRID
60,987.495,Steam,Fifty Percent Out Of Order,GRID
61,1007.04,Steam,Fifty Percent Out Of Order,GRID
62,1020.579,Steam,Fifty Percent Out Of Order,GRID
63,1037.122,Steam,Fifty Percent Out Of Order,GRID
64,1057.182,Steam,Fifty Percent Out Of Order,GRID
65,1072.233,Steam,Fifty Percent Out Of Order,GRID
66,1085.751,Steam,Fifty Percent Out Of Order,GRID
67,1103.823,Steam,Fifty Percent Out Of Order,GRID
68,1120.842,Steam,Fifty Percent Out Of Order,GRID
69,1137.399,Steam,Fifty Percent Out Of Order,GRID
70,1155.968,Steam,Fifty Percent Out Of Order,GRID
71,1171.534,Steam,Fifty Percent Out Of Order,GRID
72,1189.09,Steam,Fifty Percent Out Of Order,GRID
73,1204.072,Steam,Fifty Percent Out Of Order,GRID
74,1220.61,Steam,Fifty Percent Out Of Order,GRID
75,1238.805,Steam,Fifty Percent Out Of Order,GRID
76,1252.69,Steam,Fifty Percent Out Of Order,GRID
77,1269.244,Steam,Fifty Percent Out Of Order,GRID
78,1287.284,Steam,Fifty Percent Out Of Order,GRID
79,1303.828,Steam,Fifty Percent Out Of Order,GRID
80,1322.411,Steam,Fifty Percent Out Of Order,GRID
81,1337.425,Steam,Fifty Percent Out Of Order,GRID
82,1353.958,Steam,Fifty Percent Out Of Order,GRID
83,1369.498,Steam,Fifty Percent Out Of Order,GRID
84,1389.081,Steam,Fifty Percent Out Of Order,GRID
85,1404.09,Steam,Fifty Percent Out Of Order,GRID
86,1419.134,Steam,Fifty Percent Out Of Order,GRID
87,1441.71,Steam,Fifty Percent Out Of Order,GRID
88,1455.316,Steam,Fifty Percent Out Of Order,GRID
89,1472.296,Steam,Fifty Percent Out Of Order,GRID
90,1491.839,Steam,Fifty Percent Out Of Order,GRID
91,1506.868,Steam,Fifty Percent Out Of Order,GRID
92,1520.397,Steam,Fifty Percent Out Of Order,GRID
93,1538.964,Steam,Fifty Percent Out Of Order,GRID
94,1553.999,Steam,Fifty Percent Out Of Order,GRID
95,1569.537,Steam,Fifty Percent Out Of Order,GRID
96,1588.605,Steam,Fifty Percent Out Of Order,GRID
97,1607.161,Steam,Fifty Percent Out Of Order,GRID
98,1622.196,Steam,Fifty Percent Out Of Order,GRID
99,1638.746,Steam,Fifty Percent Out Of Order,GRID
100,1654.265,Steam,Fifty Percent Out Of Order,GRID
101,1669.296,Steam,Fifty Percent Out Of Order,GRID
102,1690.376,Steam,Fifty Percent Out Of Order,GRID
103,1705.41,Steam,Fifty Percent Out Of Order,GRID
104,1725.439,Steam,Fifty Percent Out Of Order,GRID
105,1740.498,Steam,Fifty Percent Out Of Order,GRID
106,1757.032,Steam,Fifty Percent Out Of Order,GRID
107,1773.596,Steam,Fifty Percent Out Of Order,GRID
108,1793.129,Steam,Fifty Percent Out Of Order,GRID
109,1809.705,Steam,Fifty Percent Out Of Order,GRID
110,1824.71,Steam,Fifty Percent Out Of Order,GRID
111,1839.76,Steam,Fifty Percent Out Of Order,GRID
112,1856.296,Steam,Fifty Percent Out Of Order,GRID
113,1872.847,Steam,Fifty Percent Out Of Order,GRID
114,1890.929,Steam,Fifty Percent Out Of Order,GRID
115,1907.425,Steam,Fifty Percent Out Of Order,GRID
116,1926.995,Steam,Fifty Percent Out Of Order,GRID
117,1942.033,Steam,Fifty Percent Out Of Order,GRID
118,1957.067,Steam,Fifty Percent Out Of Order,GRID
119,1973.619,Steam,Fifty Percent Out Of Order,GRID
120,1993.156,Steam,Fifty Percent Out Of Order,GRID
121,2008.203,Steam,Fifty Percent Out Of Order,GRID
122,2026.261,Steam,Fifty Percent Out Of Order,GRID
123,2044.303,Steam,Fifty Percent Out Of Order,GRID
124,2057.842,Steam,Fifty Percent Out Of Order,GRID
125,2077.383,Steam,Fifty Percent Out Of Order,GRID
126,2092.422,Steam,Fifty Percent Out Of Order,GRID
127,2110.479,Steam,Fifty Percent Out Of Order,GRID
128,2122.172,Steam,Fifty Percent Out Of Order,GRID
129,2141.59,Steam,Fifty Percent Out Of Order,GRID
130,2159.625,Steam,Fifty Percent Out Of Order,GRID
131,2177.682,Steam,Fifty Percent Out Of Order,GRID
132,2194.211,Steam,Fifty Percent Out Of Order,GRID
133,2209.227,Steam,Fifty Percent Out Of Order,GRID
