Frame, Time (ms),Platform,Scenario,Game
1,0,Parsec,Local,GRID
2,16.371,Parsec,Local,GRID
3,33.067,Parsec,Local,GRID
4,49.701,Parsec,Local,GRID
5,66.487,Parsec,Local,GRID
6,83.013,Parsec,Local,GRID
7,99.78,Parsec,Local,GRID
8,116.362,Parsec,Local,GRID
9,133.037,Parsec,Local,GRID
10,149.702,Parsec,Local,GRID
11,166.35,Parsec,Local,GRID
12,183.016,Parsec,Local,GRID
13,199.693,Parsec,Local,GRID
14,216.364,Parsec,Local,GRID
15,233.02,Parsec,Local,GRID
16,249.707,Parsec,Local,GRID
17,266.354,Parsec,Local,GRID
18,283.039,Parsec,Local,GRID
19,299.701,Parsec,Local,GRID
20,316.377,Parsec,Local,GRID
21,333.187,Parsec,Local,GRID
22,349.79,Parsec,Local,GRID
23,366.413,Parsec,Local,GRID
24,383.072,Parsec,Local,GRID
25,399.73,Parsec,Local,GRID
26,416.428,Parsec,Local,GRID
27,433.064,Parsec,Local,GRID
28,449.712,Parsec,Local,GRID
29,466.377,Parsec,Local,GRID
30,483.023,Parsec,Local,GRID
31,499.697,Parsec,Local,GRID
32,516.362,Parsec,Local,GRID
33,533.054,Parsec,Local,GRID
34,549.738,Parsec,Local,GRID
35,566.41,Parsec,Local,GRID
36,583.063,Parsec,Local,GRID
37,599.745,Parsec,Local,GRID
38,616.411,Parsec,Local,GRID
39,633.142,Parsec,Local,GRID
40,649.74,Parsec,Local,GRID
41,666.389,Parsec,Local,GRID
42,683.056,Parsec,Local,GRID
43,699.794,Parsec,Local,GRID
44,716.377,Parsec,Local,GRID
45,733.106,Parsec,Local,GRID
46,749.727,Parsec,Local,GRID
47,766.378,Parsec,Local,GRID
48,783.041,Parsec,Local,GRID
49,799.715,Parsec,Local,GRID
50,816.369,Parsec,Local,GRID
51,833.046,Parsec,Local,GRID
52,849.724,Parsec,Local,GRID
53,866.375,Parsec,Local,GRID
54,883.06,Parsec,Local,GRID
55,899.738,Parsec,Local,GRID
56,916.486,Parsec,Local,GRID
57,933.105,Parsec,Local,GRID
58,949.729,Parsec,Local,GRID
59,966.394,Parsec,Local,GRID
60,983.055,Parsec,Local,GRID
61,999.741,Parsec,Local,GRID
62,1016.409,Parsec,Local,GRID
