Frame, Time (ms),Platform,Scenario,Game
1,0,Steam,Local,GRID
2,12.933,Steam,Local,GRID
3,29.956,Steam,Local,GRID
4,45.493,Steam,Local,GRID
5,62.541,Steam,Local,GRID
6,79.592,Steam,Local,GRID
7,96.634,Steam,Local,GRID
8,116.776,Steam,Local,GRID
9,129.801,Steam,Local,GRID
10,145.864,Steam,Local,GRID
11,163.948,Steam,Local,GRID
12,179.96,Steam,Local,GRID
13,196.985,Steam,Local,GRID
14,214.07,Steam,Local,GRID
15,231.57,Steam,Local,GRID
16,245.641,Steam,Local,GRID
17,262.159,Steam,Local,GRID
18,280.761,Steam,Local,GRID
19,298.801,Steam,Local,GRID
20,314.086,Steam,Local,GRID
21,330.334,Steam,Local,GRID
22,348.561,Steam,Local,GRID
23,365.009,Steam,Local,GRID
24,380.527,Steam,Local,GRID
25,397.011,Steam,Local,GRID
26,415.104,Steam,Local,GRID
27,431.663,Steam,Local,GRID
28,448.917,Steam,Local,GRID
29,462.937,Steam,Local,GRID
30,480.97,Steam,Local,GRID
31,497.527,Steam,Local,GRID
32,514.628,Steam,Local,GRID
33,531.797,Steam,Local,GRID
34,548.58,Steam,Local,GRID
35,567.059,Steam,Local,GRID
36,582.048,Steam,Local,GRID
37,597.612,Steam,Local,GRID
38,615.704,Steam,Local,GRID
39,632.189,Steam,Local,GRID
40,648.718,Steam,Local,GRID
41,665.486,Steam,Local,GRID
42,682.345,Steam,Local,GRID
43,700.37,Steam,Local,GRID
44,716.917,Steam,Local,GRID
45,732.072,Steam,Local,GRID
46,750.031,Steam,Local,GRID
47,767.045,Steam,Local,GRID
48,783.738,Steam,Local,GRID
49,800.199,Steam,Local,GRID
50,816.728,Steam,Local,GRID
51,835.228,Steam,Local,GRID
52,848.785,Steam,Local,GRID
53,865.839,Steam,Local,GRID
54,882.421,Steam,Local,GRID
55,898.9,Steam,Local,GRID
56,920.021,Steam,Local,GRID
57,933.984,Steam,Local,GRID
58,950.207,Steam,Local,GRID
59,967.118,Steam,Local,GRID
60,985.315,Steam,Local,GRID
61,999.187,Steam,Local,GRID
62,1017.451,Steam,Local,GRID
63,1035.423,Steam,Local,GRID
64,1050.295,Steam,Local,GRID
65,1067.502,Steam,Local,GRID
