Frame, Time (ms),Platform,Scenario,Game
1,0,Parsec,Simple,GRID
2,16.344,Parsec,Simple,GRID
3,32.997,Parsec,Simple,GRID
4,49.657,Parsec,Simple,GRID
5,66.33,Parsec,Simple,GRID
6,82.987,Parsec,Simple,GRID
7,99.644,Parsec,Simple,GRID
8,116.413,Parsec,Simple,GRID
9,133.025,Parsec,Simple,GRID
10,149.719,Parsec,Simple,GRID
11,166.335,Parsec,Simple,GRID
12,183.034,Parsec,Simple,GRID
13,199.705,Parsec,Simple,GRID
14,216.323,Parsec,Simple,GRID
15,232.993,Parsec,Simple,GRID
16,249.664,Parsec,Simple,GRID
17,266.336,Parsec,Simple,GRID
18,282.986,Parsec,Simple,GRID
19,299.652,Parsec,Simple,GRID
20,316.375,Parsec,Simple,GRID
21,333.018,Parsec,Simple,GRID
22,349.703,Parsec,Simple,GRID
23,366.318,Parsec,Simple,GRID
24,383.005,Parsec,Simple,GRID
25,399.665,Parsec,Simple,GRID
26,416.347,Parsec,Simple,GRID
27,433.041,Parsec,Simple,GRID
28,449.684,Parsec,Simple,GRID
29,466.341,Parsec,Simple,GRID
30,482.963,Parsec,Simple,GRID
31,499.66,Parsec,Simple,GRID
32,516.261,Parsec,Simple,GRID
33,533.006,Parsec,Simple,GRID
34,549.706,Parsec,Simple,GRID
35,566.428,Parsec,Simple,GRID
36,582.997,Parsec,Simple,GRID
37,599.673,Parsec,Simple,GRID
38,616.34,Parsec,Simple,GRID
39,633.02,Parsec,Simple,GRID
40,649.658,Parsec,Simple,GRID
41,666.349,Parsec,Simple,GRID
42,682.983,Parsec,Simple,GRID
43,699.653,Parsec,Simple,GRID
44,716.334,Parsec,Simple,GRID
45,733.035,Parsec,Simple,GRID
46,749.666,Parsec,Simple,GRID
47,766.327,Parsec,Simple,GRID
48,783.009,Parsec,Simple,GRID
49,799.657,Parsec,Simple,GRID
50,816.342,Parsec,Simple,GRID
51,833.047,Parsec,Simple,GRID
52,849.762,Parsec,Simple,GRID
53,866.334,Parsec,Simple,GRID
54,883.018,Parsec,Simple,GRID
55,899.697,Parsec,Simple,GRID
56,916.326,Parsec,Simple,GRID
57,933.015,Parsec,Simple,GRID
58,949.673,Parsec,Simple,GRID
59,966.363,Parsec,Simple,GRID
60,983.053,Parsec,Simple,GRID
61,999.68,Parsec,Simple,GRID
62,1016.336,Parsec,Simple,GRID
63,1033.003,Parsec,Simple,GRID
64,1049.686,Parsec,Simple,GRID
65,1066.326,Parsec,Simple,GRID
66,1083.001,Parsec,Simple,GRID
67,1099.663,Parsec,Simple,GRID
68,1116.532,Parsec,Simple,GRID
69,1133.013,Parsec,Simple,GRID
70,1149.684,Parsec,Simple,GRID
71,1166.363,Parsec,Simple,GRID
72,1183.036,Parsec,Simple,GRID
73,1199.608,Parsec,Simple,GRID
74,1216.332,Parsec,Simple,GRID
75,1233.004,Parsec,Simple,GRID
76,1249.663,Parsec,Simple,GRID
77,1266.338,Parsec,Simple,GRID
78,1283.107,Parsec,Simple,GRID
79,1299.663,Parsec,Simple,GRID
80,1316.336,Parsec,Simple,GRID
81,1333.014,Parsec,Simple,GRID
82,1349.732,Parsec,Simple,GRID
83,1366.331,Parsec,Simple,GRID
84,1383.004,Parsec,Simple,GRID
85,1399.67,Parsec,Simple,GRID
86,1416.395,Parsec,Simple,GRID
87,1432.965,Parsec,Simple,GRID
88,1449.674,Parsec,Simple,GRID
89,1466.399,Parsec,Simple,GRID
