Frame, Time (ms),Platform,Scenario,Game
1,0,Steam,Simple,GRID
2,11.576,Steam,Simple,GRID
3,28.029,Steam,Simple,GRID
4,45.083,Steam,Simple,GRID
5,62.122,Steam,Simple,GRID
6,78.113,Steam,Simple,GRID
7,95.107,Steam,Simple,GRID
8,110.458,Steam,Simple,GRID
9,126.924,Steam,Simple,GRID
10,142.504,Steam,Simple,GRID
11,160.43,Steam,Simple,GRID
12,224.998,Steam,Simple,GRID
13,225.301,Steam,Simple,GRID
14,248.285,Steam,Simple,GRID
15,265.455,Steam,Simple,GRID
16,276.595,Steam,Simple,GRID
17,294.489,Steam,Simple,GRID
18,310.981,Steam,Simple,GRID
19,327.97,Steam,Simple,GRID
20,344.147,Steam,Simple,GRID
21,361.101,Steam,Simple,GRID
22,377.58,Steam,Simple,GRID
23,394.718,Steam,Simple,GRID
24,411.24,Steam,Simple,GRID
25,427.294,Steam,Simple,GRID
26,443.858,Steam,Simple,GRID
27,460.867,Steam,Simple,GRID
28,477.205,Steam,Simple,GRID
29,494.644,Steam,Simple,GRID
30,510.666,Steam,Simple,GRID
31,527.176,Steam,Simple,GRID
32,543.977,Steam,Simple,GRID
33,559.99,Steam,Simple,GRID
34,577.928,Steam,Simple,GRID
35,593.573,Steam,Simple,GRID
36,611.135,Steam,Simple,GRID
37,627.097,Steam,Simple,GRID
38,643.64,Steam,Simple,GRID
39,661.146,Steam,Simple,GRID
40,677.168,Steam,Simple,GRID
41,693.956,Steam,Simple,GRID
42,710.522,Steam,Simple,GRID
43,727.594,Steam,Simple,GRID
44,744.095,Steam,Simple,GRID
45,760.68,Steam,Simple,GRID
46,778.328,Steam,Simple,GRID
47,794.153,Steam,Simple,GRID
48,814.136,Steam,Simple,GRID
49,829.21,Steam,Simple,GRID
50,844.973,Steam,Simple,GRID
51,861.525,Steam,Simple,GRID
52,878.154,Steam,Simple,GRID
53,898.297,Steam,Simple,GRID
54,914.651,Steam,Simple,GRID
55,1007.326,Steam,Simple,GRID
56,1021.892,Steam,Simple,GRID
57,1030.712,Steam,Simple,GRID
58,1052.913,Steam,Simple,GRID
59,1068.623,Steam,Simple,GRID
60,1085.354,Steam,Simple,GRID
61,1096.203,Steam,Simple,GRID
62,1110.548,Steam,Simple,GRID
63,1126.571,Steam,Simple,GRID
64,1143.427,Steam,Simple,GRID
65,1160.32,Steam,Simple,GRID
66,1176.619,Steam,Simple,GRID
67,1193.648,Steam,Simple,GRID
68,1210.716,Steam,Simple,GRID
69,1226.6,Steam,Simple,GRID
70,1242.481,Steam,Simple,GRID
71,1259.329,Steam,Simple,GRID
72,1276.008,Steam,Simple,GRID
73,1292.506,Steam,Simple,GRID
74,1309.134,Steam,Simple,GRID
75,1325.859,Steam,Simple,GRID
76,1343.499,Steam,Simple,GRID
77,1360.093,Steam,Simple,GRID
78,1376.772,Steam,Simple,GRID
79,1393.128,Steam,Simple,GRID
80,1409.405,Steam,Simple,GRID
81,1425.921,Steam,Simple,GRID
82,1442.562,Steam,Simple,GRID
83,1459.28,Steam,Simple,GRID
84,1476.197,Steam,Simple,GRID
85,1494.7,Steam,Simple,GRID
86,1510.746,Steam,Simple,GRID
87,1527.246,Steam,Simple,GRID
88,1544.32,Steam,Simple,GRID
89,1561.833,Steam,Simple,GRID
90,1578.384,Steam,Simple,GRID
91,1593.793,Steam,Simple,GRID
92,1609.014,Steam,Simple,GRID
93,1626.681,Steam,Simple,GRID
94,1643.958,Steam,Simple,GRID
95,1665.036,Steam,Simple,GRID
96,1680.017,Steam,Simple,GRID
97,1697.06,Steam,Simple,GRID
98,1716.537,Steam,Simple,GRID
99,1736.829,Steam,Simple,GRID
100,1749.309,Steam,Simple,GRID
101,1764.969,Steam,Simple,GRID
102,1778.568,Steam,Simple,GRID
103,1794.92,Steam,Simple,GRID
104,1811.901,Steam,Simple,GRID
105,1827.932,Steam,Simple,GRID
106,1844.455,Steam,Simple,GRID
107,1861.429,Steam,Simple,GRID
108,1878.633,Steam,Simple,GRID
109,1893.426,Steam,Simple,GRID
110,1911.716,Steam,Simple,GRID
111,1928.118,Steam,Simple,GRID
112,1945.113,Steam,Simple,GRID
113,1961.11,Steam,Simple,GRID
114,1978.461,Steam,Simple,GRID
115,1994.425,Steam,Simple,GRID
116,2017.396,Steam,Simple,GRID
117,2033.398,Steam,Simple,GRID
118,2051.921,Steam,Simple,GRID
119,2071.031,Steam,Simple,GRID
120,2153.194,Steam,Simple,GRID
121,2169.006,Steam,Simple,GRID
122,2186.63,Steam,Simple,GRID
123,2196.07,Steam,Simple,GRID
124,2216.272,Steam,Simple,GRID
125,2232.94,Steam,Simple,GRID
126,2243.638,Steam,Simple,GRID
127,2260.247,Steam,Simple,GRID
128,2278.446,Steam,Simple,GRID
129,2294.402,Steam,Simple,GRID
130,2311.633,Steam,Simple,GRID
131,2327.64,Steam,Simple,GRID
132,2347.087,Steam,Simple,GRID
133,2366.284,Steam,Simple,GRID
134,2381.275,Steam,Simple,GRID
135,2400.278,Steam,Simple,GRID
136,2417.665,Steam,Simple,GRID
137,2435.094,Steam,Simple,GRID
138,2452.74,Steam,Simple,GRID
139,2466.61,Steam,Simple,GRID
140,2485.032,Steam,Simple,GRID
141,2506.084,Steam,Simple,GRID
142,2526.226,Steam,Simple,GRID
143,2541.062,Steam,Simple,GRID
144,2557.6,Steam,Simple,GRID
145,2575.407,Steam,Simple,GRID
146,2593.694,Steam,Simple,GRID
147,2608.213,Steam,Simple,GRID
148,2628.347,Steam,Simple,GRID
149,2707.472,Steam,Simple,GRID
150,2820.745,Steam,Simple,GRID
151,2838.369,Steam,Simple,GRID
152,2855.24,Steam,Simple,GRID
153,2870.088,Steam,Simple,GRID
154,2886.106,Steam,Simple,GRID
155,2902.431,Steam,Simple,GRID
156,2916.871,Steam,Simple,GRID
157,2932.424,Steam,Simple,GRID
158,2948.622,Steam,Simple,GRID
159,2964.136,Steam,Simple,GRID
160,2978.642,Steam,Simple,GRID
161,2997.15,Steam,Simple,GRID
162,3067.43,Steam,Simple,GRID
163,3095.473,Steam,Simple,GRID
164,3100.94,Steam,Simple,GRID
165,3111.492,Steam,Simple,GRID
166,3127.714,Steam,Simple,GRID
167,3149.618,Steam,Simple,GRID
168,3160.935,Steam,Simple,GRID
169,3177.505,Steam,Simple,GRID
170,3192.492,Steam,Simple,GRID
171,3209.348,Steam,Simple,GRID
172,3225.838,Steam,Simple,GRID
173,3282.45,Steam,Simple,GRID
174,3282.757,Steam,Simple,GRID
175,3298.35,Steam,Simple,GRID
176,3315.446,Steam,Simple,GRID
177,3325.906,Steam,Simple,GRID
178,3344.242,Steam,Simple,GRID
179,3360.715,Steam,Simple,GRID
180,3377.236,Steam,Simple,GRID
181,3393.97,Steam,Simple,GRID
182,3410.548,Steam,Simple,GRID
183,3427.501,Steam,Simple,GRID
184,3484.624,Steam,Simple,GRID
185,3484.888,Steam,Simple,GRID
186,3494.116,Steam,Simple,GRID
187,3514.895,Steam,Simple,GRID
188,3525.944,Steam,Simple,GRID
189,3542.719,Steam,Simple,GRID
190,3559.792,Steam,Simple,GRID
191,3576.509,Steam,Simple,GRID
192,3593.1,Steam,Simple,GRID
193,3609.173,Steam,Simple,GRID
194,3625.636,Steam,Simple,GRID
195,3642.492,Steam,Simple,GRID
196,3659.546,Steam,Simple,GRID
197,3677.598,Steam,Simple,GRID
198,3696.784,Steam,Simple,GRID
199,3770.358,Steam,Simple,GRID
200,3883.766,Steam,Simple,GRID
201,3904.982,Steam,Simple,GRID
202,3920.723,Steam,Simple,GRID
203,3935.676,Steam,Simple,GRID
204,3952.417,Steam,Simple,GRID
205,3968.446,Steam,Simple,GRID
206,3987.931,Steam,Simple,GRID
207,4005.402,Steam,Simple,GRID
208,4021.697,Steam,Simple,GRID
209,4039.665,Steam,Simple,GRID
210,4059.007,Steam,Simple,GRID
211,4074.546,Steam,Simple,GRID
212,4096.656,Steam,Simple,GRID
213,4111.924,Steam,Simple,GRID
214,4128.627,Steam,Simple,GRID
215,4146.687,Steam,Simple,GRID
216,4164.018,Steam,Simple,GRID
217,4180.54,Steam,Simple,GRID
218,4195.036,Steam,Simple,GRID
219,4210.053,Steam,Simple,GRID
220,4224.573,Steam,Simple,GRID
221,4240.642,Steam,Simple,GRID
222,4257.814,Steam,Simple,GRID
223,4273.087,Steam,Simple,GRID
224,4287.548,Steam,Simple,GRID
225,4305.18,Steam,Simple,GRID
226,4322.27,Steam,Simple,GRID
227,4338.791,Steam,Simple,GRID
228,4354.808,Steam,Simple,GRID
229,4369.797,Steam,Simple,GRID
