Frame, Time (ms),Platform,Scenario,Game
1,0,Parsec,Simple,Just Cause 3
2,16.27,Parsec,Simple,Just Cause 3
3,32.954,Parsec,Simple,Just Cause 3
4,49.614,Parsec,Simple,Just Cause 3
5,66.498,Parsec,Simple,Just Cause 3
6,82.954,Parsec,Simple,Just Cause 3
7,99.857,Parsec,Simple,Just Cause 3
8,116.307,Parsec,Simple,Just Cause 3
9,133.125,Parsec,Simple,Just Cause 3
10,149.616,Parsec,Simple,Just Cause 3
11,166.249,Parsec,Simple,Just Cause 3
12,182.935,Parsec,Simple,Just Cause 3
13,199.633,Parsec,Simple,Just Cause 3
14,216.389,Parsec,Simple,Just Cause 3
15,233.017,Parsec,Simple,Just Cause 3
16,249.613,Parsec,Simple,Just Cause 3
17,266.271,Parsec,Simple,Just Cause 3
18,282.944,Parsec,Simple,Just Cause 3
19,299.632,Parsec,Simple,Just Cause 3
20,316.281,Parsec,Simple,Just Cause 3
21,332.932,Parsec,Simple,Just Cause 3
22,349.634,Parsec,Simple,Just Cause 3
23,366.623,Parsec,Simple,Just Cause 3
24,382.931,Parsec,Simple,Just Cause 3
25,399.628,Parsec,Simple,Just Cause 3
26,416.323,Parsec,Simple,Just Cause 3
27,432.928,Parsec,Simple,Just Cause 3
28,449.815,Parsec,Simple,Just Cause 3
29,466.284,Parsec,Simple,Just Cause 3
30,483.138,Parsec,Simple,Just Cause 3
31,499.636,Parsec,Simple,Just Cause 3
32,516.275,Parsec,Simple,Just Cause 3
33,532.945,Parsec,Simple,Just Cause 3
34,549.657,Parsec,Simple,Just Cause 3
35,566.514,Parsec,Simple,Just Cause 3
36,582.94,Parsec,Simple,Just Cause 3
37,599.816,Parsec,Simple,Just Cause 3
38,616.302,Parsec,Simple,Just Cause 3
39,632.947,Parsec,Simple,Just Cause 3
40,649.618,Parsec,Simple,Just Cause 3
41,666.328,Parsec,Simple,Just Cause 3
42,682.971,Parsec,Simple,Just Cause 3
43,699.708,Parsec,Simple,Just Cause 3
44,716.296,Parsec,Simple,Just Cause 3
45,732.94,Parsec,Simple,Just Cause 3
46,749.613,Parsec,Simple,Just Cause 3
47,766.28,Parsec,Simple,Just Cause 3
48,782.95,Parsec,Simple,Just Cause 3
49,799.791,Parsec,Simple,Just Cause 3
50,816.293,Parsec,Simple,Just Cause 3
51,833.161,Parsec,Simple,Just Cause 3
52,849.626,Parsec,Simple,Just Cause 3
53,866.488,Parsec,Simple,Just Cause 3
54,882.979,Parsec,Simple,Just Cause 3
55,899.621,Parsec,Simple,Just Cause 3
56,916.295,Parsec,Simple,Just Cause 3
57,932.958,Parsec,Simple,Just Cause 3
58,949.609,Parsec,Simple,Just Cause 3
59,966.27,Parsec,Simple,Just Cause 3
60,982.955,Parsec,Simple,Just Cause 3
61,999.631,Parsec,Simple,Just Cause 3
62,1016.287,Parsec,Simple,Just Cause 3
63,1032.963,Parsec,Simple,Just Cause 3
64,1049.617,Parsec,Simple,Just Cause 3
65,1066.279,Parsec,Simple,Just Cause 3
