Frame, Time (ms),Platform,Scenario,Game
1,0,Steam,Simple,Just Cause 3
2,14.927,Steam,Simple,Just Cause 3
3,31.952,Steam,Simple,Just Cause 3
4,48.944,Steam,Simple,Just Cause 3
5,64.96,Steam,Simple,Just Cause 3
6,81.49,Steam,Simple,Just Cause 3
7,101.02,Steam,Simple,Just Cause 3
8,115.547,Steam,Simple,Just Cause 3
9,131.717,Steam,Simple,Just Cause 3
10,148.29,Steam,Simple,Just Cause 3
11,165.265,Steam,Simple,Just Cause 3
12,181.764,Steam,Simple,Just Cause 3
13,198.853,Steam,Simple,Just Cause 3
14,218.348,Steam,Simple,Just Cause 3
15,231.219,Steam,Simple,Just Cause 3
16,251.903,Steam,Simple,Just Cause 3
17,264.073,Steam,Simple,Just Cause 3
18,284.482,Steam,Simple,Just Cause 3
19,297.897,Steam,Simple,Just Cause 3
20,318.832,Steam,Simple,Just Cause 3
21,330.924,Steam,Simple,Just Cause 3
22,351.483,Steam,Simple,Just Cause 3
23,364.064,Steam,Simple,Just Cause 3
24,384.757,Steam,Simple,Just Cause 3
25,397.504,Steam,Simple,Just Cause 3
26,417.838,Steam,Simple,Just Cause 3
27,430.822,Steam,Simple,Just Cause 3
28,451.005,Steam,Simple,Just Cause 3
29,464.026,Steam,Simple,Just Cause 3
30,484.272,Steam,Simple,Just Cause 3
31,497.213,Steam,Simple,Just Cause 3
32,517.624,Steam,Simple,Just Cause 3
33,530.45,Steam,Simple,Just Cause 3
34,551.078,Steam,Simple,Just Cause 3
35,563.78,Steam,Simple,Just Cause 3
36,584.834,Steam,Simple,Just Cause 3
37,597.484,Steam,Simple,Just Cause 3
38,618.172,Steam,Simple,Just Cause 3
39,630.868,Steam,Simple,Just Cause 3
40,648.769,Steam,Simple,Just Cause 3
41,665.306,Steam,Simple,Just Cause 3
42,681.785,Steam,Simple,Just Cause 3
43,699.383,Steam,Simple,Just Cause 3
44,715.226,Steam,Simple,Just Cause 3
45,732.208,Steam,Simple,Just Cause 3
46,754.729,Steam,Simple,Just Cause 3
47,765.232,Steam,Simple,Just Cause 3
48,785.705,Steam,Simple,Just Cause 3
49,798.216,Steam,Simple,Just Cause 3
50,818.213,Steam,Simple,Just Cause 3
51,835.757,Steam,Simple,Just Cause 3
52,848.301,Steam,Simple,Just Cause 3
53,865.633,Steam,Simple,Just Cause 3
54,882.404,Steam,Simple,Just Cause 3
55,899.153,Steam,Simple,Just Cause 3
56,915.567,Steam,Simple,Just Cause 3
57,933.32,Steam,Simple,Just Cause 3
58,949.85,Steam,Simple,Just Cause 3
59,965.771,Steam,Simple,Just Cause 3
60,982.772,Steam,Simple,Just Cause 3
61,999.132,Steam,Simple,Just Cause 3
62,1015.653,Steam,Simple,Just Cause 3
63,1032.613,Steam,Simple,Just Cause 3
64,1049.097,Steam,Simple,Just Cause 3
65,1065.096,Steam,Simple,Just Cause 3
66,1081.545,Steam,Simple,Just Cause 3
67,1098.553,Steam,Simple,Just Cause 3
68,1115.528,Steam,Simple,Just Cause 3
69,1132.016,Steam,Simple,Just Cause 3
70,1150.907,Steam,Simple,Just Cause 3
71,1163.638,Steam,Simple,Just Cause 3
72,1184.509,Steam,Simple,Just Cause 3
73,1197.628,Steam,Simple,Just Cause 3
74,1217.231,Steam,Simple,Just Cause 3
75,1235.262,Steam,Simple,Just Cause 3
76,1252.855,Steam,Simple,Just Cause 3
77,1265.462,Steam,Simple,Just Cause 3
78,1283.3,Steam,Simple,Just Cause 3
79,1300.857,Steam,Simple,Just Cause 3
80,1318.33,Steam,Simple,Just Cause 3
81,1330.423,Steam,Simple,Just Cause 3
82,1348.143,Steam,Simple,Just Cause 3
83,1365.144,Steam,Simple,Just Cause 3
84,1392.653,Steam,Simple,Just Cause 3
85,1398.769,Steam,Simple,Just Cause 3
86,1414.661,Steam,Simple,Just Cause 3
87,1431.643,Steam,Simple,Just Cause 3
88,1450.743,Steam,Simple,Just Cause 3
89,1463.477,Steam,Simple,Just Cause 3
90,1485.462,Steam,Simple,Just Cause 3
91,1498.064,Steam,Simple,Just Cause 3
92,1520.124,Steam,Simple,Just Cause 3
93,1531.792,Steam,Simple,Just Cause 3
94,1548.481,Steam,Simple,Just Cause 3
95,1564.929,Steam,Simple,Just Cause 3
96,1581.902,Steam,Simple,Just Cause 3
97,1597.883,Steam,Simple,Just Cause 3
98,1617.606,Steam,Simple,Just Cause 3
99,1630.269,Steam,Simple,Just Cause 3
100,1651.389,Steam,Simple,Just Cause 3
101,1664.492,Steam,Simple,Just Cause 3
102,1682.584,Steam,Simple,Just Cause 3
103,1698.376,Steam,Simple,Just Cause 3
104,1716.608,Steam,Simple,Just Cause 3
105,1733.629,Steam,Simple,Just Cause 3
106,1752.1,Steam,Simple,Just Cause 3
107,1764.613,Steam,Simple,Just Cause 3
108,1782.812,Steam,Simple,Just Cause 3
109,1799.545,Steam,Simple,Just Cause 3
110,1816.042,Steam,Simple,Just Cause 3
111,1833.157,Steam,Simple,Just Cause 3
112,1849.158,Steam,Simple,Just Cause 3
113,1866.182,Steam,Simple,Just Cause 3
114,1883.165,Steam,Simple,Just Cause 3
115,1899.563,Steam,Simple,Just Cause 3
116,1915.73,Steam,Simple,Just Cause 3
117,1932.824,Steam,Simple,Just Cause 3
118,1950.415,Steam,Simple,Just Cause 3
119,1966.441,Steam,Simple,Just Cause 3
120,1983.971,Steam,Simple,Just Cause 3
121,2000.582,Steam,Simple,Just Cause 3
122,2016.057,Steam,Simple,Just Cause 3
123,2033.597,Steam,Simple,Just Cause 3
124,2049.631,Steam,Simple,Just Cause 3
125,2065.993,Steam,Simple,Just Cause 3
126,2082.531,Steam,Simple,Just Cause 3
127,2106.522,Steam,Simple,Just Cause 3
128,2116.445,Steam,Simple,Just Cause 3
129,2131.448,Steam,Simple,Just Cause 3
130,2148.437,Steam,Simple,Just Cause 3
131,2164.998,Steam,Simple,Just Cause 3
132,2181.389,Steam,Simple,Just Cause 3
133,2198.463,Steam,Simple,Just Cause 3
134,2215.181,Steam,Simple,Just Cause 3
135,2231.738,Steam,Simple,Just Cause 3
136,2249.387,Steam,Simple,Just Cause 3
137,2266.505,Steam,Simple,Just Cause 3
138,2282.597,Steam,Simple,Just Cause 3
139,2299.582,Steam,Simple,Just Cause 3
140,2315.948,Steam,Simple,Just Cause 3
141,2332.397,Steam,Simple,Just Cause 3
142,2349.907,Steam,Simple,Just Cause 3
143,2366.443,Steam,Simple,Just Cause 3
144,2383.262,Steam,Simple,Just Cause 3
145,2399.235,Steam,Simple,Just Cause 3
146,2415.413,Steam,Simple,Just Cause 3
147,2432.945,Steam,Simple,Just Cause 3
148,2448.996,Steam,Simple,Just Cause 3
149,2465.441,Steam,Simple,Just Cause 3
150,2482.505,Steam,Simple,Just Cause 3
151,2499.564,Steam,Simple,Just Cause 3
152,2516.379,Steam,Simple,Just Cause 3
153,2533.434,Steam,Simple,Just Cause 3
154,2549.363,Steam,Simple,Just Cause 3
155,2565.316,Steam,Simple,Just Cause 3
156,2581.842,Steam,Simple,Just Cause 3
157,2598.425,Steam,Simple,Just Cause 3
158,2615.306,Steam,Simple,Just Cause 3
159,2631.826,Steam,Simple,Just Cause 3
160,2648.839,Steam,Simple,Just Cause 3
161,2665.315,Steam,Simple,Just Cause 3
162,2682.344,Steam,Simple,Just Cause 3
163,2710.815,Steam,Simple,Just Cause 3
164,2715.372,Steam,Simple,Just Cause 3
165,2731.854,Steam,Simple,Just Cause 3
166,2748.314,Steam,Simple,Just Cause 3
167,2777.304,Steam,Simple,Just Cause 3
168,2781.782,Steam,Simple,Just Cause 3
169,2798.296,Steam,Simple,Just Cause 3
170,2815.823,Steam,Simple,Just Cause 3
171,2831.798,Steam,Simple,Just Cause 3
172,2848.278,Steam,Simple,Just Cause 3
173,2864.772,Steam,Simple,Just Cause 3
174,2881.252,Steam,Simple,Just Cause 3
175,2898.265,Steam,Simple,Just Cause 3
176,2914.601,Steam,Simple,Just Cause 3
177,2931.585,Steam,Simple,Just Cause 3
178,2947.977,Steam,Simple,Just Cause 3
179,2964.875,Steam,Simple,Just Cause 3
180,2982.515,Steam,Simple,Just Cause 3
181,2998.6,Steam,Simple,Just Cause 3
182,3016.902,Steam,Simple,Just Cause 3
183,3033.337,Steam,Simple,Just Cause 3
184,3049.733,Steam,Simple,Just Cause 3
185,3066.113,Steam,Simple,Just Cause 3
186,3082.676,Steam,Simple,Just Cause 3
187,3098.602,Steam,Simple,Just Cause 3
188,3115.086,Steam,Simple,Just Cause 3
189,3132.067,Steam,Simple,Just Cause 3
190,3148.056,Steam,Simple,Just Cause 3
191,3165.682,Steam,Simple,Just Cause 3
192,3181.559,Steam,Simple,Just Cause 3
193,3198.089,Steam,Simple,Just Cause 3
194,3214.605,Steam,Simple,Just Cause 3
195,3231.752,Steam,Simple,Just Cause 3
196,3248.232,Steam,Simple,Just Cause 3
197,3265.161,Steam,Simple,Just Cause 3
198,3282.018,Steam,Simple,Just Cause 3
199,3299.563,Steam,Simple,Just Cause 3
200,3316.085,Steam,Simple,Just Cause 3
201,3333.082,Steam,Simple,Just Cause 3
202,3349.337,Steam,Simple,Just Cause 3
203,3371.892,Steam,Simple,Just Cause 3
204,3388.425,Steam,Simple,Just Cause 3
205,3407.83,Steam,Simple,Just Cause 3
206,3416.847,Steam,Simple,Just Cause 3
207,3434.362,Steam,Simple,Just Cause 3
208,3448.827,Steam,Simple,Just Cause 3
209,3464.742,Steam,Simple,Just Cause 3
210,3481.292,Steam,Simple,Just Cause 3
211,3499.549,Steam,Simple,Just Cause 3
212,3515.461,Steam,Simple,Just Cause 3
213,3531.963,Steam,Simple,Just Cause 3
214,3548.117,Steam,Simple,Just Cause 3
215,3565.559,Steam,Simple,Just Cause 3
216,3582.048,Steam,Simple,Just Cause 3
217,3598.16,Steam,Simple,Just Cause 3
218,3615.142,Steam,Simple,Just Cause 3
219,3633.621,Steam,Simple,Just Cause 3
220,3648.671,Steam,Simple,Just Cause 3
221,3668.156,Steam,Simple,Just Cause 3
222,3682.179,Steam,Simple,Just Cause 3
223,3699.103,Steam,Simple,Just Cause 3
224,3717.232,Steam,Simple,Just Cause 3
225,3733.015,Steam,Simple,Just Cause 3
226,3750.408,Steam,Simple,Just Cause 3
227,3766.884,Steam,Simple,Just Cause 3
228,3783.377,Steam,Simple,Just Cause 3
229,3801.482,Steam,Simple,Just Cause 3
230,3817.67,Steam,Simple,Just Cause 3
231,3834.146,Steam,Simple,Just Cause 3
232,3850.08,Steam,Simple,Just Cause 3
233,3867.085,Steam,Simple,Just Cause 3
234,3883.615,Steam,Simple,Just Cause 3
235,3905.074,Steam,Simple,Just Cause 3
236,3917.024,Steam,Simple,Just Cause 3
237,3932.433,Steam,Simple,Just Cause 3
238,3948.561,Steam,Simple,Just Cause 3
239,3966.574,Steam,Simple,Just Cause 3
240,3982.307,Steam,Simple,Just Cause 3
241,3999.345,Steam,Simple,Just Cause 3
242,4016.387,Steam,Simple,Just Cause 3
243,4041.987,Steam,Simple,Just Cause 3
244,4052.85,Steam,Simple,Just Cause 3
245,4072.309,Steam,Simple,Just Cause 3
246,4087.271,Steam,Simple,Just Cause 3
247,4102.839,Steam,Simple,Just Cause 3
248,4114.791,Steam,Simple,Just Cause 3
249,4131.672,Steam,Simple,Just Cause 3
250,4148.694,Steam,Simple,Just Cause 3
251,4164.767,Steam,Simple,Just Cause 3
252,4181.784,Steam,Simple,Just Cause 3
253,4200.323,Steam,Simple,Just Cause 3
254,4216.931,Steam,Simple,Just Cause 3
255,4233.909,Steam,Simple,Just Cause 3
256,4250.67,Steam,Simple,Just Cause 3
257,4268.502,Steam,Simple,Just Cause 3
258,4283.503,Steam,Simple,Just Cause 3
259,4302.296,Steam,Simple,Just Cause 3
260,4316.757,Steam,Simple,Just Cause 3
261,4336.158,Steam,Simple,Just Cause 3
262,4349.122,Steam,Simple,Just Cause 3
263,4368.716,Steam,Simple,Just Cause 3
264,4381.724,Steam,Simple,Just Cause 3
265,4399.692,Steam,Simple,Just Cause 3
266,4414.69,Steam,Simple,Just Cause 3
267,4433.198,Steam,Simple,Just Cause 3
268,4448.287,Steam,Simple,Just Cause 3
269,4467.09,Steam,Simple,Just Cause 3
270,4482.152,Steam,Simple,Just Cause 3
271,4499.7,Steam,Simple,Just Cause 3
272,4516.818,Steam,Simple,Just Cause 3
273,4538.883,Steam,Simple,Just Cause 3
274,4549.318,Steam,Simple,Just Cause 3
275,4572.927,Steam,Simple,Just Cause 3
276,4584.237,Steam,Simple,Just Cause 3
277,4598.716,Steam,Simple,Just Cause 3
278,4625.705,Steam,Simple,Just Cause 3
279,4634.249,Steam,Simple,Just Cause 3
280,4648.189,Steam,Simple,Just Cause 3
281,4679.224,Steam,Simple,Just Cause 3
282,4698.228,Steam,Simple,Just Cause 3
283,4716.215,Steam,Simple,Just Cause 3
284,4719.213,Steam,Simple,Just Cause 3
285,4734.708,Steam,Simple,Just Cause 3
286,4748.683,Steam,Simple,Just Cause 3
287,4773.162,Steam,Simple,Just Cause 3
288,4785.766,Steam,Simple,Just Cause 3
289,4805.275,Steam,Simple,Just Cause 3
290,4818.297,Steam,Simple,Just Cause 3
291,4838.211,Steam,Simple,Just Cause 3
292,4856.713,Steam,Simple,Just Cause 3
293,4872.439,Steam,Simple,Just Cause 3
294,4885.832,Steam,Simple,Just Cause 3
295,4904.35,Steam,Simple,Just Cause 3
296,4915.947,Steam,Simple,Just Cause 3
297,4935.863,Steam,Simple,Just Cause 3
298,4955.377,Steam,Simple,Just Cause 3
299,4971.42,Steam,Simple,Just Cause 3
300,4987.282,Steam,Simple,Just Cause 3
301,5005.865,Steam,Simple,Just Cause 3
302,5019.036,Steam,Simple,Just Cause 3
303,5038.343,Steam,Simple,Just Cause 3
304,5050.3,Steam,Simple,Just Cause 3
305,5068.778,Steam,Simple,Just Cause 3
306,5083.755,Steam,Simple,Just Cause 3
307,5107.261,Steam,Simple,Just Cause 3
308,5116.78,Steam,Simple,Just Cause 3
309,5139.832,Steam,Simple,Just Cause 3
310,5151.102,Steam,Simple,Just Cause 3
311,5169.766,Steam,Simple,Just Cause 3
312,5181.863,Steam,Simple,Just Cause 3
