Frame, Time (ms),Platform,Scenario,Game
1,0,Parsec,Three Percent Loss,Tomb Raider 2013
2,16.526,Parsec,Three Percent Loss,Tomb Raider 2013
3,33.214,Parsec,Three Percent Loss,Tomb Raider 2013
4,66.982,Parsec,Three Percent Loss,Tomb Raider 2013
5,83.227,Parsec,Three Percent Loss,Tomb Raider 2013
6,99.889,Parsec,Three Percent Loss,Tomb Raider 2013
7,142.087,Parsec,Three Percent Loss,Tomb Raider 2013
8,149.886,Parsec,Three Percent Loss,Tomb Raider 2013
9,166.507,Parsec,Three Percent Loss,Tomb Raider 2013
10,190.048,Parsec,Three Percent Loss,Tomb Raider 2013
11,199.977,Parsec,Three Percent Loss,Tomb Raider 2013
12,216.557,Parsec,Three Percent Loss,Tomb Raider 2013
13,251.121,Parsec,Three Percent Loss,Tomb Raider 2013
14,266.551,Parsec,Three Percent Loss,Tomb Raider 2013
15,283.188,Parsec,Three Percent Loss,Tomb Raider 2013
16,302.299,Parsec,Three Percent Loss,Tomb Raider 2013
17,316.56,Parsec,Three Percent Loss,Tomb Raider 2013
18,333.616,Parsec,Three Percent Loss,Tomb Raider 2013
19,352.479,Parsec,Three Percent Loss,Tomb Raider 2013
20,366.553,Parsec,Three Percent Loss,Tomb Raider 2013
21,383.228,Parsec,Three Percent Loss,Tomb Raider 2013
22,399.889,Parsec,Three Percent Loss,Tomb Raider 2013
23,416.581,Parsec,Three Percent Loss,Tomb Raider 2013
24,433.225,Parsec,Three Percent Loss,Tomb Raider 2013
25,477.311,Parsec,Three Percent Loss,Tomb Raider 2013
26,483.255,Parsec,Three Percent Loss,Tomb Raider 2013
27,517.968,Parsec,Three Percent Loss,Tomb Raider 2013
28,533.236,Parsec,Three Percent Loss,Tomb Raider 2013
29,549.917,Parsec,Three Percent Loss,Tomb Raider 2013
30,566.527,Parsec,Three Percent Loss,Tomb Raider 2013
31,583.23,Parsec,Three Percent Loss,Tomb Raider 2013
32,599.908,Parsec,Three Percent Loss,Tomb Raider 2013
33,630.847,Parsec,Three Percent Loss,Tomb Raider 2013
34,633.195,Parsec,Three Percent Loss,Tomb Raider 2013
35,649.921,Parsec,Three Percent Loss,Tomb Raider 2013
36,666.533,Parsec,Three Percent Loss,Tomb Raider 2013
37,683.265,Parsec,Three Percent Loss,Tomb Raider 2013
38,752.252,Parsec,Three Percent Loss,Tomb Raider 2013
39,766.626,Parsec,Three Percent Loss,Tomb Raider 2013
40,792.31,Parsec,Three Percent Loss,Tomb Raider 2013
41,799.917,Parsec,Three Percent Loss,Tomb Raider 2013
42,816.576,Parsec,Three Percent Loss,Tomb Raider 2013
43,833.238,Parsec,Three Percent Loss,Tomb Raider 2013
44,849.98,Parsec,Three Percent Loss,Tomb Raider 2013
45,866.564,Parsec,Three Percent Loss,Tomb Raider 2013
46,883.206,Parsec,Three Percent Loss,Tomb Raider 2013
47,899.943,Parsec,Three Percent Loss,Tomb Raider 2013
48,916.574,Parsec,Three Percent Loss,Tomb Raider 2013
49,947.207,Parsec,Three Percent Loss,Tomb Raider 2013
50,950.004,Parsec,Three Percent Loss,Tomb Raider 2013
51,987.345,Parsec,Three Percent Loss,Tomb Raider 2013
52,999.922,Parsec,Three Percent Loss,Tomb Raider 2013
53,1016.543,Parsec,Three Percent Loss,Tomb Raider 2013
54,1033.254,Parsec,Three Percent Loss,Tomb Raider 2013
55,1053.966,Parsec,Three Percent Loss,Tomb Raider 2013
56,1066.577,Parsec,Three Percent Loss,Tomb Raider 2013
57,1086.113,Parsec,Three Percent Loss,Tomb Raider 2013
58,1099.923,Parsec,Three Percent Loss,Tomb Raider 2013
59,1116.583,Parsec,Three Percent Loss,Tomb Raider 2013
60,1145.207,Parsec,Three Percent Loss,Tomb Raider 2013
61,1149.915,Parsec,Three Percent Loss,Tomb Raider 2013
62,1173.029,Parsec,Three Percent Loss,Tomb Raider 2013
63,1184.024,Parsec,Three Percent Loss,Tomb Raider 2013
64,1199.926,Parsec,Three Percent Loss,Tomb Raider 2013
65,1216.576,Parsec,Three Percent Loss,Tomb Raider 2013
66,1233.326,Parsec,Three Percent Loss,Tomb Raider 2013
67,1249.928,Parsec,Three Percent Loss,Tomb Raider 2013
68,1266.582,Parsec,Three Percent Loss,Tomb Raider 2013
