Frame, Time (ms),Platform,Scenario,Game
1,0,Steam,Three Percent Loss,Tomb Raider 2013
2,0.461,Steam,Three Percent Loss,Tomb Raider 2013
3,25.219,Steam,Three Percent Loss,Tomb Raider 2013
4,35.229,Steam,Three Percent Loss,Tomb Raider 2013
5,51.827,Steam,Three Percent Loss,Tomb Raider 2013
6,68.524,Steam,Three Percent Loss,Tomb Raider 2013
7,86.293,Steam,Three Percent Loss,Tomb Raider 2013
8,101.94,Steam,Three Percent Loss,Tomb Raider 2013
9,120.1,Steam,Three Percent Loss,Tomb Raider 2013
10,145.041,Steam,Three Percent Loss,Tomb Raider 2013
11,152.024,Steam,Three Percent Loss,Tomb Raider 2013
12,181.784,Steam,Three Percent Loss,Tomb Raider 2013
13,216.429,Steam,Three Percent Loss,Tomb Raider 2013
14,237.632,Steam,Three Percent Loss,Tomb Raider 2013
15,237.976,Steam,Three Percent Loss,Tomb Raider 2013
16,252.991,Steam,Three Percent Loss,Tomb Raider 2013
17,276.025,Steam,Three Percent Loss,Tomb Raider 2013
18,444.861,Steam,Three Percent Loss,Tomb Raider 2013
19,445.211,Steam,Three Percent Loss,Tomb Raider 2013
20,453.5,Steam,Three Percent Loss,Tomb Raider 2013
21,479.072,Steam,Three Percent Loss,Tomb Raider 2013
22,496.353,Steam,Three Percent Loss,Tomb Raider 2013
23,502.182,Steam,Three Percent Loss,Tomb Raider 2013
24,564.578,Steam,Three Percent Loss,Tomb Raider 2013
25,564.878,Steam,Three Percent Loss,Tomb Raider 2013
26,570.366,Steam,Three Percent Loss,Tomb Raider 2013
27,615.55,Steam,Three Percent Loss,Tomb Raider 2013
28,617.44,Steam,Three Percent Loss,Tomb Raider 2013
29,628.99,Steam,Three Percent Loss,Tomb Raider 2013
30,642.565,Steam,Three Percent Loss,Tomb Raider 2013
31,679.14,Steam,Three Percent Loss,Tomb Raider 2013
32,694.726,Steam,Three Percent Loss,Tomb Raider 2013
33,752.075,Steam,Three Percent Loss,Tomb Raider 2013
34,752.376,Steam,Three Percent Loss,Tomb Raider 2013
35,769.873,Steam,Three Percent Loss,Tomb Raider 2013
36,786.666,Steam,Three Percent Loss,Tomb Raider 2013
37,802.209,Steam,Three Percent Loss,Tomb Raider 2013
38,818.659,Steam,Three Percent Loss,Tomb Raider 2013
39,835.372,Steam,Three Percent Loss,Tomb Raider 2013
40,853.591,Steam,Three Percent Loss,Tomb Raider 2013
41,869.026,Steam,Three Percent Loss,Tomb Raider 2013
42,885.662,Steam,Three Percent Loss,Tomb Raider 2013
43,902.091,Steam,Three Percent Loss,Tomb Raider 2013
44,919.947,Steam,Three Percent Loss,Tomb Raider 2013
45,935.45,Steam,Three Percent Loss,Tomb Raider 2013
46,952.287,Steam,Three Percent Loss,Tomb Raider 2013
47,968.843,Steam,Three Percent Loss,Tomb Raider 2013
48,985.443,Steam,Three Percent Loss,Tomb Raider 2013
49,1003.557,Steam,Three Percent Loss,Tomb Raider 2013
50,1020.02,Steam,Three Percent Loss,Tomb Raider 2013
51,1036.574,Steam,Three Percent Loss,Tomb Raider 2013
52,1059.128,Steam,Three Percent Loss,Tomb Raider 2013
53,1070.14,Steam,Three Percent Loss,Tomb Raider 2013
54,1098.805,Steam,Three Percent Loss,Tomb Raider 2013
55,1103.784,Steam,Three Percent Loss,Tomb Raider 2013
