Frame, Time (ms),Platform,Scenario,Game
1,0,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
2,16.395,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
3,33.647,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
4,49.746,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
5,66.394,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
6,83.085,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
7,99.697,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
8,116.404,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
9,133.083,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
10,149.732,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
11,166.409,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
12,183.079,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
13,199.717,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
14,216.406,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
15,233.056,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
16,249.877,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
17,266.413,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
18,283.077,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
19,299.737,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
20,316.391,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
21,333.105,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
22,349.743,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
23,366.403,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
24,383.07,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
25,399.706,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
26,416.424,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
27,433.106,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
28,449.742,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
29,466.409,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
30,483.044,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
31,499.746,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
32,516.427,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
33,533.085,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
34,549.734,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
35,566.384,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
36,583.079,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
37,599.77,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
38,616.378,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
39,633.125,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
40,649.708,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
41,666.406,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
42,683.088,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
43,699.746,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
44,716.42,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
45,733.115,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
46,749.75,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
47,766.429,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
48,783.09,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
49,799.757,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
50,816.42,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
51,833.12,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
52,849.851,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
53,866.385,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
54,883.106,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
55,899.831,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
56,916.436,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
57,933.116,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
58,949.763,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
59,966.435,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
60,983.117,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
61,999.761,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
62,1016.427,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
63,1033.115,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
64,1049.77,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
65,1067.003,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
66,1083.097,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
67,1099.772,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
68,1116.432,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
69,1133.124,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
70,1149.768,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
71,1166.433,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
72,1183.098,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
73,1199.794,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
74,1216.438,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
75,1233.076,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
76,1249.777,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
77,1266.489,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
78,1283.112,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
79,1299.797,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
80,1316.425,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
81,1333.126,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
82,1349.808,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
83,1366.448,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
84,1383.112,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
85,1399.934,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
86,1416.469,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
87,1433.165,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
88,1449.79,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
89,1466.424,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
90,1483.119,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
91,1499.806,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
92,1516.411,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
93,1533.132,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
94,1549.762,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
95,1566.448,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
96,1583.15,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
97,1599.9,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
98,1616.424,Parsec,Fifty Percent Out Of Order,Tomb Raider 2013
