Frame, Time (ms),Platform,Scenario,Game
1,0,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
2,17.169,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
3,33.705,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
4,54.798,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
5,68.3,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
6,86.335,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
7,104.384,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
8,123.971,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
9,135.977,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
10,151.045,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
11,167.579,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
12,185.61,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
13,205.18,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
14,221.703,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
15,238.25,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
16,253.289,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
17,266.832,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
18,286.398,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
19,304.419,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
20,320.965,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
21,337.528,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
22,351.051,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
23,370.606,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
24,382.627,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
25,403.17,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
26,418.233,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
27,436.277,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
28,452.834,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
29,466.372,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
30,484.901,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
31,501.447,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
32,519.487,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
33,539.047,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
34,549.61,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
35,568.62,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
36,586.679,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
37,604.727,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
38,621.272,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
39,638.304,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
40,656.429,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
41,672.902,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
42,690.991,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
43,704.496,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
44,723.042,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
45,736.663,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
46,754.648,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
47,772.677,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
48,789.736,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
49,801.751,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
50,821.301,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
51,841.357,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
52,851.883,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
53,872.929,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
54,886.469,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
55,906.024,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
56,919.567,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
57,940.616,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
58,958.718,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
59,972.23,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
60,988.742,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
61,1005.297,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
62,1021.827,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
63,1038.392,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
64,1054.92,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
65,1074.5,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
66,1088.002,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
67,1106.083,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
68,1121.095,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
69,1137.649,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
70,1157.228,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
71,1168.217,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
72,1187.765,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
73,1205.845,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
74,1222.364,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
75,1240.403,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
76,1256.957,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
77,1273.522,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
78,1290.037,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
79,1309.605,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
80,1321.612,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
81,1341.176,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
82,1354.713,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
83,1371.285,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
84,1390.802,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
85,1407.366,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
86,1421.386,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
87,1439.448,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
88,1458.987,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
89,1475.569,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
90,1489.07,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
91,1504.112,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
92,1523.673,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
93,1541.713,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
94,1555.264,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
95,1574.814,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
96,1594.359,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
97,1609.396,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
98,1642.508,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
99,1648.491,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
100,1659.576,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
101,1676.068,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
102,1692.617,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
103,1706.654,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
104,1727.767,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
105,1744.333,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
106,1759.311,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
107,1777.338,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
108,1792.883,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
109,1807.917,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
110,1825.97,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
111,1840.005,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
112,1858.054,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
113,1879.138,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
114,1897.208,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
115,1909.18,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
116,1924.721,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
117,1939.772,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
118,1957.825,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
119,1977.368,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
120,1992.902,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
121,2009.476,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
122,2026.504,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
123,2045.548,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
124,2059.657,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
125,2074.63,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
126,2094.175,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
127,2111.242,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
128,2126.266,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
129,2145.815,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
130,2159.356,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
131,2175.9,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
132,2192.943,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
133,2214.008,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
134,2227.53,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
135,2245.591,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
136,2259.616,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
137,2279.184,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
138,2294.717,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
139,2309.249,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
140,2327.811,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
141,2342.843,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
142,2360.894,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
143,2376.445,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
144,2396.01,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
145,2411.021,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
146,2432.106,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
147,2444.611,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
148,2462.69,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
149,2477.699,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
150,2494.261,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
151,2510.783,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
152,2529.329,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
153,2547.401,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
154,2562.429,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
155,2580.988,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
156,2597.527,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
157,2611.063,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
158,2626.109,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
159,2646.148,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
160,2664.216,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
161,2680.737,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
162,2697.304,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
163,2710.829,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
164,2730.875,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
165,2747.504,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
166,2763.974,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
167,2783.602,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
168,2794.546,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
169,2814.114,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
170,2827.628,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
171,2847.182,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
172,2864.227,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
173,2878.278,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
174,2899.335,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
175,2914.363,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
176,2929.396,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
177,2945.94,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
178,2963.985,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
179,2979.036,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
180,3003.105,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
181,3013.636,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
182,3029.181,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
183,3047.221,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
184,3061.263,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
185,3082.328,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
186,3094.335,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
187,3113.904,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
188,3130.977,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
189,3148.995,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
190,3164.028,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
191,3179.075,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
192,3197.625,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
193,3215.668,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
194,3233.721,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
195,3247.252,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
196,3264.29,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
197,3285.355,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
198,3297.425,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
199,3315.457,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
200,3334.045,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
201,3349.017,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
202,3365.567,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
203,3382.113,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
204,3398.648,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
205,3415.689,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
206,3435.275,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
207,3447.279,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
208,3465.325,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
209,3482.37,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
210,3497.41,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
211,3513.958,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
212,3533.548,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
213,3549.047,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
214,3567.11,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
215,3583.677,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
216,3600.207,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
217,3617.241,Steam,Fifty Percent Out Of Order,Tomb Raider 2013
