Frame, Time (ms),Platform,Scenario,Game
1,0,Parsec,Local,Tomb Raider 2013
2,16.354,Parsec,Local,Tomb Raider 2013
3,33.034,Parsec,Local,Tomb Raider 2013
4,49.679,Parsec,Local,Tomb Raider 2013
5,66.32,Parsec,Local,Tomb Raider 2013
6,83.005,Parsec,Local,Tomb Raider 2013
7,99.685,Parsec,Local,Tomb Raider 2013
8,116.386,Parsec,Local,Tomb Raider 2013
9,133.054,Parsec,Local,Tomb Raider 2013
10,149.671,Parsec,Local,Tomb Raider 2013
11,166.347,Parsec,Local,Tomb Raider 2013
12,182.99,Parsec,Local,Tomb Raider 2013
13,199.726,Parsec,Local,Tomb Raider 2013
14,216.364,Parsec,Local,Tomb Raider 2013
15,233.016,Parsec,Local,Tomb Raider 2013
16,249.684,Parsec,Local,Tomb Raider 2013
17,266.376,Parsec,Local,Tomb Raider 2013
18,283.012,Parsec,Local,Tomb Raider 2013
19,299.661,Parsec,Local,Tomb Raider 2013
20,316.385,Parsec,Local,Tomb Raider 2013
21,333.018,Parsec,Local,Tomb Raider 2013
22,349.698,Parsec,Local,Tomb Raider 2013
23,366.349,Parsec,Local,Tomb Raider 2013
24,382.994,Parsec,Local,Tomb Raider 2013
25,399.686,Parsec,Local,Tomb Raider 2013
26,416.36,Parsec,Local,Tomb Raider 2013
27,433.043,Parsec,Local,Tomb Raider 2013
28,449.691,Parsec,Local,Tomb Raider 2013
29,466.348,Parsec,Local,Tomb Raider 2013
30,483.033,Parsec,Local,Tomb Raider 2013
31,499.781,Parsec,Local,Tomb Raider 2013
32,516.359,Parsec,Local,Tomb Raider 2013
33,533.018,Parsec,Local,Tomb Raider 2013
34,549.723,Parsec,Local,Tomb Raider 2013
35,566.339,Parsec,Local,Tomb Raider 2013
36,583.068,Parsec,Local,Tomb Raider 2013
37,599.678,Parsec,Local,Tomb Raider 2013
38,616.36,Parsec,Local,Tomb Raider 2013
39,633.036,Parsec,Local,Tomb Raider 2013
40,649.675,Parsec,Local,Tomb Raider 2013
41,666.374,Parsec,Local,Tomb Raider 2013
42,683.016,Parsec,Local,Tomb Raider 2013
43,699.689,Parsec,Local,Tomb Raider 2013
44,716.359,Parsec,Local,Tomb Raider 2013
45,733.091,Parsec,Local,Tomb Raider 2013
46,749.722,Parsec,Local,Tomb Raider 2013
47,766.37,Parsec,Local,Tomb Raider 2013
48,783.035,Parsec,Local,Tomb Raider 2013
49,799.68,Parsec,Local,Tomb Raider 2013
50,816.398,Parsec,Local,Tomb Raider 2013
51,833.055,Parsec,Local,Tomb Raider 2013
52,849.712,Parsec,Local,Tomb Raider 2013
53,866.367,Parsec,Local,Tomb Raider 2013
54,883.028,Parsec,Local,Tomb Raider 2013
55,899.799,Parsec,Local,Tomb Raider 2013
56,916.377,Parsec,Local,Tomb Raider 2013
57,933.029,Parsec,Local,Tomb Raider 2013
58,949.69,Parsec,Local,Tomb Raider 2013
