Frame, Time (ms),Platform,Scenario,Game
1,0,Steam,Local,Tomb Raider 2013
2,13.624,Steam,Local,Tomb Raider 2013
3,30.662,Steam,Local,Tomb Raider 2013
4,48.745,Steam,Local,Tomb Raider 2013
5,65.363,Steam,Local,Tomb Raider 2013
6,82.595,Steam,Local,Tomb Raider 2013
7,98.15,Steam,Local,Tomb Raider 2013
8,118.23,Steam,Local,Tomb Raider 2013
9,134.02,Steam,Local,Tomb Raider 2013
10,149.767,Steam,Local,Tomb Raider 2013
11,166.832,Steam,Local,Tomb Raider 2013
12,183.855,Steam,Local,Tomb Raider 2013
13,201.462,Steam,Local,Tomb Raider 2013
14,216.963,Steam,Local,Tomb Raider 2013
15,233.994,Steam,Local,Tomb Raider 2013
16,251.008,Steam,Local,Tomb Raider 2013
17,266.608,Steam,Local,Tomb Raider 2013
18,282.106,Steam,Local,Tomb Raider 2013
19,302.237,Steam,Local,Tomb Raider 2013
20,316.749,Steam,Local,Tomb Raider 2013
21,337.279,Steam,Local,Tomb Raider 2013
22,351.348,Steam,Local,Tomb Raider 2013
23,368.368,Steam,Local,Tomb Raider 2013
24,385.422,Steam,Local,Tomb Raider 2013
25,402.49,Steam,Local,Tomb Raider 2013
26,416.462,Steam,Local,Tomb Raider 2013
27,433.581,Steam,Local,Tomb Raider 2013
28,450.574,Steam,Local,Tomb Raider 2013
29,469.145,Steam,Local,Tomb Raider 2013
30,484.679,Steam,Local,Tomb Raider 2013
31,501.543,Steam,Local,Tomb Raider 2013
32,518.518,Steam,Local,Tomb Raider 2013
33,535.065,Steam,Local,Tomb Raider 2013
34,551.67,Steam,Local,Tomb Raider 2013
35,571.917,Steam,Local,Tomb Raider 2013
36,584.413,Steam,Local,Tomb Raider 2013
37,601.458,Steam,Local,Tomb Raider 2013
38,618.594,Steam,Local,Tomb Raider 2013
39,634.562,Steam,Local,Tomb Raider 2013
40,653.134,Steam,Local,Tomb Raider 2013
41,670.185,Steam,Local,Tomb Raider 2013
42,687.202,Steam,Local,Tomb Raider 2013
43,701.268,Steam,Local,Tomb Raider 2013
44,718.815,Steam,Local,Tomb Raider 2013
45,735.994,Steam,Local,Tomb Raider 2013
46,751.724,Steam,Local,Tomb Raider 2013
47,770.193,Steam,Local,Tomb Raider 2013
48,785.249,Steam,Local,Tomb Raider 2013
49,803.336,Steam,Local,Tomb Raider 2013
50,819.068,Steam,Local,Tomb Raider 2013
51,834.574,Steam,Local,Tomb Raider 2013
52,854.228,Steam,Local,Tomb Raider 2013
53,868.579,Steam,Local,Tomb Raider 2013
54,885.502,Steam,Local,Tomb Raider 2013
55,902.025,Steam,Local,Tomb Raider 2013
56,918.544,Steam,Local,Tomb Raider 2013
57,935.162,Steam,Local,Tomb Raider 2013
58,953.394,Steam,Local,Tomb Raider 2013
59,970.955,Steam,Local,Tomb Raider 2013
60,985.217,Steam,Local,Tomb Raider 2013
61,1003.251,Steam,Local,Tomb Raider 2013
62,1019.828,Steam,Local,Tomb Raider 2013
63,1037.962,Steam,Local,Tomb Raider 2013
64,1053.201,Steam,Local,Tomb Raider 2013
65,1070.232,Steam,Local,Tomb Raider 2013
66,1085.756,Steam,Local,Tomb Raider 2013
67,1104.349,Steam,Local,Tomb Raider 2013
68,1119.83,Steam,Local,Tomb Raider 2013
69,1136.961,Steam,Local,Tomb Raider 2013
70,1153.973,Steam,Local,Tomb Raider 2013
71,1171.006,Steam,Local,Tomb Raider 2013
72,1187.062,Steam,Local,Tomb Raider 2013
73,1204.077,Steam,Local,Tomb Raider 2013
74,1221.113,Steam,Local,Tomb Raider 2013
75,1238.16,Steam,Local,Tomb Raider 2013
76,1255.357,Steam,Local,Tomb Raider 2013
77,1272.794,Steam,Local,Tomb Raider 2013
78,1288.552,Steam,Local,Tomb Raider 2013
79,1304.346,Steam,Local,Tomb Raider 2013
80,1322.886,Steam,Local,Tomb Raider 2013
81,1337.1,Steam,Local,Tomb Raider 2013
82,1354.534,Steam,Local,Tomb Raider 2013
83,1371.534,Steam,Local,Tomb Raider 2013
84,1388.627,Steam,Local,Tomb Raider 2013
85,1405.664,Steam,Local,Tomb Raider 2013
86,1421.2,Steam,Local,Tomb Raider 2013
87,1438.723,Steam,Local,Tomb Raider 2013
88,1457.241,Steam,Local,Tomb Raider 2013
89,1471.289,Steam,Local,Tomb Raider 2013
90,1488.316,Steam,Local,Tomb Raider 2013
91,1506.956,Steam,Local,Tomb Raider 2013
92,1522.25,Steam,Local,Tomb Raider 2013
93,1539.228,Steam,Local,Tomb Raider 2013
94,1557.249,Steam,Local,Tomb Raider 2013
95,1572.293,Steam,Local,Tomb Raider 2013
96,1588.915,Steam,Local,Tomb Raider 2013
97,1607.191,Steam,Local,Tomb Raider 2013
98,1624.218,Steam,Local,Tomb Raider 2013
99,1639.768,Steam,Local,Tomb Raider 2013
100,1658.338,Steam,Local,Tomb Raider 2013
101,1671.314,Steam,Local,Tomb Raider 2013
102,1689.867,Steam,Local,Tomb Raider 2013
103,1706.956,Steam,Local,Tomb Raider 2013
104,1724.012,Steam,Local,Tomb Raider 2013
105,1741.005,Steam,Local,Tomb Raider 2013
106,1758.775,Steam,Local,Tomb Raider 2013
107,1773.094,Steam,Local,Tomb Raider 2013
108,1791.671,Steam,Local,Tomb Raider 2013
109,1807.192,Steam,Local,Tomb Raider 2013
110,1824.204,Steam,Local,Tomb Raider 2013
111,1841.808,Steam,Local,Tomb Raider 2013
112,1855.803,Steam,Local,Tomb Raider 2013
113,1875.87,Steam,Local,Tomb Raider 2013
114,1891.824,Steam,Local,Tomb Raider 2013
115,1907.201,Steam,Local,Tomb Raider 2013
116,1922.242,Steam,Local,Tomb Raider 2013
117,1938.774,Steam,Local,Tomb Raider 2013
118,1958.442,Steam,Local,Tomb Raider 2013
119,1972.633,Steam,Local,Tomb Raider 2013
120,1989.363,Steam,Local,Tomb Raider 2013
121,2005.908,Steam,Local,Tomb Raider 2013
122,2024.016,Steam,Local,Tomb Raider 2013
123,2040.691,Steam,Local,Tomb Raider 2013
124,2057.843,Steam,Local,Tomb Raider 2013
125,2074.896,Steam,Local,Tomb Raider 2013
126,2091.921,Steam,Local,Tomb Raider 2013
127,2109.484,Steam,Local,Tomb Raider 2013
128,2124.579,Steam,Local,Tomb Raider 2013
129,2142.589,Steam,Local,Tomb Raider 2013
130,2159.105,Steam,Local,Tomb Raider 2013
131,2174.673,Steam,Local,Tomb Raider 2013
132,2191.264,Steam,Local,Tomb Raider 2013
133,2208.258,Steam,Local,Tomb Raider 2013
134,2224.86,Steam,Local,Tomb Raider 2013
135,2241.345,Steam,Local,Tomb Raider 2013
136,2257.898,Steam,Local,Tomb Raider 2013
137,2275.933,Steam,Local,Tomb Raider 2013
138,2292.971,Steam,Local,Tomb Raider 2013
139,2308.066,Steam,Local,Tomb Raider 2013
140,2326.058,Steam,Local,Tomb Raider 2013
141,2341.102,Steam,Local,Tomb Raider 2013
142,2358.199,Steam,Local,Tomb Raider 2013
143,2374.688,Steam,Local,Tomb Raider 2013
144,2392.772,Steam,Local,Tomb Raider 2013
145,2409.279,Steam,Local,Tomb Raider 2013
146,2425.844,Steam,Local,Tomb Raider 2013
147,2441.443,Steam,Local,Tomb Raider 2013
148,2457.972,Steam,Local,Tomb Raider 2013
149,2476.001,Steam,Local,Tomb Raider 2013
150,2492.523,Steam,Local,Tomb Raider 2013
151,2509.568,Steam,Local,Tomb Raider 2013
152,2527.599,Steam,Local,Tomb Raider 2013
153,2544.546,Steam,Local,Tomb Raider 2013
154,2558.426,Steam,Local,Tomb Raider 2013
155,2577.973,Steam,Local,Tomb Raider 2013
156,2593.032,Steam,Local,Tomb Raider 2013
157,2609.679,Steam,Local,Tomb Raider 2013
158,2627.401,Steam,Local,Tomb Raider 2013
159,2644.56,Steam,Local,Tomb Raider 2013
160,2659.95,Steam,Local,Tomb Raider 2013
161,2675.986,Steam,Local,Tomb Raider 2013
162,2692.573,Steam,Local,Tomb Raider 2013
163,2711.08,Steam,Local,Tomb Raider 2013
164,2727.886,Steam,Local,Tomb Raider 2013
165,2744.2,Steam,Local,Tomb Raider 2013
166,2762.283,Steam,Local,Tomb Raider 2013
167,2776.292,Steam,Local,Tomb Raider 2013
168,2794.319,Steam,Local,Tomb Raider 2013
169,2811.42,Steam,Local,Tomb Raider 2013
170,2828.915,Steam,Local,Tomb Raider 2013
171,2844.425,Steam,Local,Tomb Raider 2013
172,2860.955,Steam,Local,Tomb Raider 2013
173,2879.097,Steam,Local,Tomb Raider 2013
174,2895.614,Steam,Local,Tomb Raider 2013
175,2910.841,Steam,Local,Tomb Raider 2013
176,2927.855,Steam,Local,Tomb Raider 2013
177,2943.919,Steam,Local,Tomb Raider 2013
178,2961.073,Steam,Local,Tomb Raider 2013
179,2977.596,Steam,Local,Tomb Raider 2013
180,2994.041,Steam,Local,Tomb Raider 2013
181,3011.11,Steam,Local,Tomb Raider 2013
182,3029.218,Steam,Local,Tomb Raider 2013
183,3043.415,Steam,Local,Tomb Raider 2013
184,3061.09,Steam,Local,Tomb Raider 2013
185,3077.643,Steam,Local,Tomb Raider 2013
186,3097.186,Steam,Local,Tomb Raider 2013
187,3111.146,Steam,Local,Tomb Raider 2013
188,3128.203,Steam,Local,Tomb Raider 2013
189,3145.819,Steam,Local,Tomb Raider 2013
190,3162.283,Steam,Local,Tomb Raider 2013
191,3179.36,Steam,Local,Tomb Raider 2013
192,3195.874,Steam,Local,Tomb Raider 2013
193,3212.442,Steam,Local,Tomb Raider 2013
194,3227.503,Steam,Local,Tomb Raider 2013
195,3245.59,Steam,Local,Tomb Raider 2013
196,3264.124,Steam,Local,Tomb Raider 2013
197,3279.136,Steam,Local,Tomb Raider 2013
198,3296.155,Steam,Local,Tomb Raider 2013
199,3312.684,Steam,Local,Tomb Raider 2013
200,3329.218,Steam,Local,Tomb Raider 2013
201,3345.79,Steam,Local,Tomb Raider 2013
202,3362.832,Steam,Local,Tomb Raider 2013
203,3379.342,Steam,Local,Tomb Raider 2013
204,3395.911,Steam,Local,Tomb Raider 2013
205,3413.992,Steam,Local,Tomb Raider 2013
206,3432.568,Steam,Local,Tomb Raider 2013
207,3446.545,Steam,Local,Tomb Raider 2013
208,3464.606,Steam,Local,Tomb Raider 2013
209,3480.67,Steam,Local,Tomb Raider 2013
210,3496.173,Steam,Local,Tomb Raider 2013
211,3515.268,Steam,Local,Tomb Raider 2013
212,3529.281,Steam,Local,Tomb Raider 2013
213,3545.785,Steam,Local,Tomb Raider 2013
214,3563.898,Steam,Local,Tomb Raider 2013
215,3580.617,Steam,Local,Tomb Raider 2013
216,3598.643,Steam,Local,Tomb Raider 2013
217,3612.184,Steam,Local,Tomb Raider 2013
218,3630.789,Steam,Local,Tomb Raider 2013
219,3647.41,Steam,Local,Tomb Raider 2013
220,3663.139,Steam,Local,Tomb Raider 2013
221,3680.921,Steam,Local,Tomb Raider 2013
222,3700.28,Steam,Local,Tomb Raider 2013
223,3716.291,Steam,Local,Tomb Raider 2013
224,3730.305,Steam,Local,Tomb Raider 2013
225,3747.384,Steam,Local,Tomb Raider 2013
226,3765.421,Steam,Local,Tomb Raider 2013
227,3784.154,Steam,Local,Tomb Raider 2013
228,3798.521,Steam,Local,Tomb Raider 2013
229,3817.032,Steam,Local,Tomb Raider 2013
230,3834.077,Steam,Local,Tomb Raider 2013
231,3851.091,Steam,Local,Tomb Raider 2013
232,3869.654,Steam,Local,Tomb Raider 2013
233,3883.861,Steam,Local,Tomb Raider 2013
234,3900.292,Steam,Local,Tomb Raider 2013
235,3915.853,Steam,Local,Tomb Raider 2013
236,3931.169,Steam,Local,Tomb Raider 2013
237,3951.132,Steam,Local,Tomb Raider 2013
238,3966.169,Steam,Local,Tomb Raider 2013
239,3982.742,Steam,Local,Tomb Raider 2013
240,3997.816,Steam,Local,Tomb Raider 2013
