Frame, Time (ms),Platform,Scenario,Game
1,0,Parsec,Simple,Tomb Raider 2013
2,16.393,Parsec,Simple,Tomb Raider 2013
3,33.01,Parsec,Simple,Tomb Raider 2013
4,49.727,Parsec,Simple,Tomb Raider 2013
5,66.424,Parsec,Simple,Tomb Raider 2013
6,83.029,Parsec,Simple,Tomb Raider 2013
7,99.749,Parsec,Simple,Tomb Raider 2013
8,116.405,Parsec,Simple,Tomb Raider 2013
9,133.086,Parsec,Simple,Tomb Raider 2013
10,149.762,Parsec,Simple,Tomb Raider 2013
11,166.369,Parsec,Simple,Tomb Raider 2013
12,183.061,Parsec,Simple,Tomb Raider 2013
13,199.723,Parsec,Simple,Tomb Raider 2013
14,216.429,Parsec,Simple,Tomb Raider 2013
15,233.04,Parsec,Simple,Tomb Raider 2013
16,249.725,Parsec,Simple,Tomb Raider 2013
17,266.402,Parsec,Simple,Tomb Raider 2013
18,283.03,Parsec,Simple,Tomb Raider 2013
19,299.733,Parsec,Simple,Tomb Raider 2013
20,316.362,Parsec,Simple,Tomb Raider 2013
21,333.072,Parsec,Simple,Tomb Raider 2013
22,349.729,Parsec,Simple,Tomb Raider 2013
23,366.396,Parsec,Simple,Tomb Raider 2013
24,383.138,Parsec,Simple,Tomb Raider 2013
25,399.666,Parsec,Simple,Tomb Raider 2013
26,416.45,Parsec,Simple,Tomb Raider 2013
27,432.998,Parsec,Simple,Tomb Raider 2013
28,449.697,Parsec,Simple,Tomb Raider 2013
29,466.395,Parsec,Simple,Tomb Raider 2013
30,483.023,Parsec,Simple,Tomb Raider 2013
31,499.882,Parsec,Simple,Tomb Raider 2013
32,516.352,Parsec,Simple,Tomb Raider 2013
33,533.08,Parsec,Simple,Tomb Raider 2013
34,549.701,Parsec,Simple,Tomb Raider 2013
35,566.44,Parsec,Simple,Tomb Raider 2013
36,583.049,Parsec,Simple,Tomb Raider 2013
37,599.75,Parsec,Simple,Tomb Raider 2013
38,616.415,Parsec,Simple,Tomb Raider 2013
39,633.029,Parsec,Simple,Tomb Raider 2013
40,649.719,Parsec,Simple,Tomb Raider 2013
41,666.415,Parsec,Simple,Tomb Raider 2013
42,683.04,Parsec,Simple,Tomb Raider 2013
43,699.769,Parsec,Simple,Tomb Raider 2013
44,716.338,Parsec,Simple,Tomb Raider 2013
45,733.069,Parsec,Simple,Tomb Raider 2013
46,749.738,Parsec,Simple,Tomb Raider 2013
47,766.402,Parsec,Simple,Tomb Raider 2013
