Frame, Time (ms),Platform,Scenario,Game
1,0,Steam,Simple,Tomb Raider 2013
2,12.885,Steam,Simple,Tomb Raider 2013
3,28.135,Steam,Simple,Tomb Raider 2013
4,44.657,Steam,Simple,Tomb Raider 2013
5,61.661,Steam,Simple,Tomb Raider 2013
6,77.675,Steam,Simple,Tomb Raider 2013
7,96.707,Steam,Simple,Tomb Raider 2013
8,112.69,Steam,Simple,Tomb Raider 2013
9,127.894,Steam,Simple,Tomb Raider 2013
10,146.455,Steam,Simple,Tomb Raider 2013
11,162.442,Steam,Simple,Tomb Raider 2013
12,177.799,Steam,Simple,Tomb Raider 2013
13,194.761,Steam,Simple,Tomb Raider 2013
14,211.3,Steam,Simple,Tomb Raider 2013
15,226.687,Steam,Simple,Tomb Raider 2013
16,244.504,Steam,Simple,Tomb Raider 2013
17,260.919,Steam,Simple,Tomb Raider 2013
18,277.856,Steam,Simple,Tomb Raider 2013
19,294.876,Steam,Simple,Tomb Raider 2013
20,310.921,Steam,Simple,Tomb Raider 2013
21,328.352,Steam,Simple,Tomb Raider 2013
22,345.831,Steam,Simple,Tomb Raider 2013
23,362.425,Steam,Simple,Tomb Raider 2013
24,378.019,Steam,Simple,Tomb Raider 2013
25,394.956,Steam,Simple,Tomb Raider 2013
26,410.981,Steam,Simple,Tomb Raider 2013
27,427.556,Steam,Simple,Tomb Raider 2013
28,445.124,Steam,Simple,Tomb Raider 2013
29,461.164,Steam,Simple,Tomb Raider 2013
30,478.559,Steam,Simple,Tomb Raider 2013
31,494.588,Steam,Simple,Tomb Raider 2013
32,511.565,Steam,Simple,Tomb Raider 2013
33,529.595,Steam,Simple,Tomb Raider 2013
34,545.069,Steam,Simple,Tomb Raider 2013
35,561.019,Steam,Simple,Tomb Raider 2013
36,578.305,Steam,Simple,Tomb Raider 2013
37,595.076,Steam,Simple,Tomb Raider 2013
38,614.359,Steam,Simple,Tomb Raider 2013
39,632.422,Steam,Simple,Tomb Raider 2013
40,647.94,Steam,Simple,Tomb Raider 2013
41,667.007,Steam,Simple,Tomb Raider 2013
42,681.578,Steam,Simple,Tomb Raider 2013
43,699.983,Steam,Simple,Tomb Raider 2013
44,716.996,Steam,Simple,Tomb Raider 2013
45,736.429,Steam,Simple,Tomb Raider 2013
46,752.294,Steam,Simple,Tomb Raider 2013
47,768.787,Steam,Simple,Tomb Raider 2013
48,787.036,Steam,Simple,Tomb Raider 2013
49,802.033,Steam,Simple,Tomb Raider 2013
50,816.068,Steam,Simple,Tomb Raider 2013
51,834.125,Steam,Simple,Tomb Raider 2013
52,849.259,Steam,Simple,Tomb Raider 2013
53,865.846,Steam,Simple,Tomb Raider 2013
54,883.267,Steam,Simple,Tomb Raider 2013
55,901.989,Steam,Simple,Tomb Raider 2013
56,920.242,Steam,Simple,Tomb Raider 2013
57,934.008,Steam,Simple,Tomb Raider 2013
58,951.923,Steam,Simple,Tomb Raider 2013
59,967.494,Steam,Simple,Tomb Raider 2013
60,984.87,Steam,Simple,Tomb Raider 2013
61,1000.363,Steam,Simple,Tomb Raider 2013
62,1015.333,Steam,Simple,Tomb Raider 2013
63,1031.393,Steam,Simple,Tomb Raider 2013
64,1046.864,Steam,Simple,Tomb Raider 2013
65,1063.44,Steam,Simple,Tomb Raider 2013
66,1080.439,Steam,Simple,Tomb Raider 2013
67,1098.655,Steam,Simple,Tomb Raider 2013
68,1117.187,Steam,Simple,Tomb Raider 2013
69,1133.511,Steam,Simple,Tomb Raider 2013
70,1152.06,Steam,Simple,Tomb Raider 2013
71,1171.255,Steam,Simple,Tomb Raider 2013
72,1188.735,Steam,Simple,Tomb Raider 2013
73,1205.663,Steam,Simple,Tomb Raider 2013
74,1220.882,Steam,Simple,Tomb Raider 2013
75,1236.398,Steam,Simple,Tomb Raider 2013
76,1252.414,Steam,Simple,Tomb Raider 2013
77,1268.97,Steam,Simple,Tomb Raider 2013
78,1286.815,Steam,Simple,Tomb Raider 2013
79,1303.21,Steam,Simple,Tomb Raider 2013
80,1320.747,Steam,Simple,Tomb Raider 2013
81,1338.85,Steam,Simple,Tomb Raider 2013
82,1360.218,Steam,Simple,Tomb Raider 2013
83,1372.69,Steam,Simple,Tomb Raider 2013
84,1388.297,Steam,Simple,Tomb Raider 2013
85,1406.821,Steam,Simple,Tomb Raider 2013
86,1470.579,Steam,Simple,Tomb Raider 2013
87,1471.28,Steam,Simple,Tomb Raider 2013
88,1477.711,Steam,Simple,Tomb Raider 2013
89,1500.485,Steam,Simple,Tomb Raider 2013
90,1509.989,Steam,Simple,Tomb Raider 2013
91,1526.767,Steam,Simple,Tomb Raider 2013
92,1543.759,Steam,Simple,Tomb Raider 2013
93,1559.965,Steam,Simple,Tomb Raider 2013
94,1576.88,Steam,Simple,Tomb Raider 2013
95,1593.16,Steam,Simple,Tomb Raider 2013
96,1609.998,Steam,Simple,Tomb Raider 2013
97,1626.499,Steam,Simple,Tomb Raider 2013
98,1643.633,Steam,Simple,Tomb Raider 2013
99,1660.008,Steam,Simple,Tomb Raider 2013
100,1676.967,Steam,Simple,Tomb Raider 2013
101,1693.201,Steam,Simple,Tomb Raider 2013
102,1709.872,Steam,Simple,Tomb Raider 2013
103,1726.51,Steam,Simple,Tomb Raider 2013
104,1743.228,Steam,Simple,Tomb Raider 2013
105,1760.391,Steam,Simple,Tomb Raider 2013
106,1776.435,Steam,Simple,Tomb Raider 2013
107,1794.54,Steam,Simple,Tomb Raider 2013
108,1811.527,Steam,Simple,Tomb Raider 2013
109,1830.928,Steam,Simple,Tomb Raider 2013
110,1843.263,Steam,Simple,Tomb Raider 2013
111,1860.261,Steam,Simple,Tomb Raider 2013
112,1876.551,Steam,Simple,Tomb Raider 2013
113,1897.395,Steam,Simple,Tomb Raider 2013
114,1910.244,Steam,Simple,Tomb Raider 2013
115,1930.556,Steam,Simple,Tomb Raider 2013
116,1943.243,Steam,Simple,Tomb Raider 2013
117,1959.931,Steam,Simple,Tomb Raider 2013
118,1980.636,Steam,Simple,Tomb Raider 2013
119,1993.115,Steam,Simple,Tomb Raider 2013
120,2013.834,Steam,Simple,Tomb Raider 2013
121,2026.882,Steam,Simple,Tomb Raider 2013
122,2043.383,Steam,Simple,Tomb Raider 2013
123,2063.897,Steam,Simple,Tomb Raider 2013
124,2076.793,Steam,Simple,Tomb Raider 2013
125,2095.271,Steam,Simple,Tomb Raider 2013
126,2111.67,Steam,Simple,Tomb Raider 2013
127,2127.923,Steam,Simple,Tomb Raider 2013
128,2144.912,Steam,Simple,Tomb Raider 2013
129,2164.076,Steam,Simple,Tomb Raider 2013
130,2176.516,Steam,Simple,Tomb Raider 2013
131,2194.405,Steam,Simple,Tomb Raider 2013
132,2211.408,Steam,Simple,Tomb Raider 2013
133,2228.435,Steam,Simple,Tomb Raider 2013
134,2244.935,Steam,Simple,Tomb Raider 2013
135,2262.145,Steam,Simple,Tomb Raider 2013
136,2278.448,Steam,Simple,Tomb Raider 2013
137,2297.958,Steam,Simple,Tomb Raider 2013
138,2309.876,Steam,Simple,Tomb Raider 2013
139,2326.365,Steam,Simple,Tomb Raider 2013
140,2347.364,Steam,Simple,Tomb Raider 2013
141,2360.015,Steam,Simple,Tomb Raider 2013
142,2376.512,Steam,Simple,Tomb Raider 2013
143,2393.252,Steam,Simple,Tomb Raider 2013
144,2409.902,Steam,Simple,Tomb Raider 2013
145,2426.543,Steam,Simple,Tomb Raider 2013
146,2443.121,Steam,Simple,Tomb Raider 2013
147,2459.857,Steam,Simple,Tomb Raider 2013
148,2476.508,Steam,Simple,Tomb Raider 2013
149,2493.47,Steam,Simple,Tomb Raider 2013
150,2511.52,Steam,Simple,Tomb Raider 2013
151,2566.337,Steam,Simple,Tomb Raider 2013
152,2567.026,Steam,Simple,Tomb Raider 2013
153,2577.939,Steam,Simple,Tomb Raider 2013
